time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_003,Thingamajig D,buyer_t0_000,seller_t0_002,False,,rejected,2,120.0,80.0,0.0,0.0
0,item_004,Gizmo E,buyer_t0_004,seller_t0_000,True,83.2,accepted,3,120.0,80.0,36.8,3.200000000000003
0,item_000,Widget A,buyer_t0_001,seller_t0_003,False,,rejected,2,120.0,80.0,0.0,0.0
0,item_001,Gadget B,buyer_t0_003,seller_t0_001,True,83.2,accepted,3,120.0,80.0,36.8,3.200000000000003
0,item_004,Gizmo E,buyer_t0_002,seller_t0_004,True,83.2,accepted,3,120.0,80.0,36.8,3.200000000000003
1,item_003,Thingamajig D,buyer_t1_003,seller_t1_003,False,,rejected,2,120.0,80.0,0.0,0.0
1,item_001,Gadget B,buyer_t1_001,seller_t1_001,False,,rejected,2,120.0,80.0,0.0,0.0
1,item_004,Gizmo E,buyer_t1_004,seller_t1_000,False,,rejected,2,120.0,80.0,0.0,0.0
1,item_002,Doohickey C,buyer_t1_002,seller_t1_002,False,,rejected,2,120.0,80.0,0.0,0.0
1,item_004,Gizmo E,buyer_t1_000,seller_t1_004,True,83.2,accepted,3,120.0,80.0,36.8,3.200000000000003
2,item_004,Gizmo E,buyer_t2_000,seller_t2_004,False,,rejected,2,120.0,80.0,0.0,0.0
2,item_001,Gadget B,buyer_t2_004,seller_t2_000,True,83.2,accepted,3,120.0,80.0,36.8,3.200000000000003
2,item_003,Thingamajig D,buyer_t2_002,seller_t2_001,False,,rejected,2,120.0,80.0,0.0,0.0
2,item_002,Doohickey C,buyer_t2_003,seller_t2_003,False,,rejected,2,120.0,80.0,0.0,0.0
2,item_002,Doohickey C,buyer_t2_001,seller_t2_002,True,83.2,accepted,3,120.0,80.0,36.8,3.200000000000003
