time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_001,Gadget B,buyer_t0_002,seller_t0_004,True,101.33,accepted,3,120.0,80.0,18.67,21.33
0,item_000,Widget A,buyer_t0_000,seller_t0_000,True,101.33,accepted,3,120.0,80.0,18.67,21.33
0,item_004,Gizmo E,buyer_t0_004,seller_t0_001,True,101.33,accepted,3,120.0,80.0,18.67,21.33
0,item_000,Widget A,buyer_t0_001,seller_t0_003,True,101.33,accepted,3,120.0,80.0,18.67,21.33
0,item_000,Widget A,buyer_t0_003,seller_t0_002,True,101.33,accepted,3,120.0,80.0,18.67,21.33
1,item_004,Gizmo E,buyer_t1_002,seller_t1_004,True,101.33,accepted,3,120.0,80.0,18.67,21.33
1,item_004,Gizmo E,buyer_t1_004,seller_t1_001,True,101.33,accepted,3,120.0,80.0,18.67,21.33
1,item_004,Gizmo E,buyer_t1_000,seller_t1_003,True,101.33,accepted,3,120.0,80.0,18.67,21.33
1,item_004,Gizmo E,buyer_t1_003,seller_t1_002,True,101.33,accepted,3,120.0,80.0,18.67,21.33
1,item_004,Gizmo E,buyer_t1_001,seller_t1_000,True,101.33,accepted,3,120.0,80.0,18.67,21.33
2,item_002,Doohickey C,buyer_t2_001,seller_t2_001,True,101.33,accepted,3,120.0,80.0,18.67,21.33
2,item_004,Gizmo E,buyer_t2_004,seller_t2_004,True,101.33,accepted,3,120.0,80.0,18.67,21.33
2,item_003,Thingamajig D,buyer_t2_000,seller_t2_000,True,101.33,accepted,3,120.0,80.0,18.67,21.33
2,item_004,Gizmo E,buyer_t2_003,seller_t2_003,True,101.33,accepted,3,120.0,80.0,18.67,21.33
2,item_002,Doohickey C,buyer_t2_002,seller_t2_002,True,101.33,accepted,3,120.0,80.0,18.67,21.33
