time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_003,Thingamajig D,buyer_t0_003,seller_t0_006,True,48.71,accepted,3,57.29,36.41,8.579999999999998,12.300000000000004
0,item_001,Gadget B,buyer_t0_006,seller_t0_007,False,,rejected,10,109.75,108.43,0.0,0.0
0,item_004,Gizmo E,buyer_t0_000,seller_t0_001,True,97.17,accepted,3,100.05,74.62,2.8799999999999955,22.549999999999997
0,item_003,Thingamajig D,buyer_t0_008,seller_t0_000,True,86.02,accepted,3,114.12,71.95,28.10000000000001,14.069999999999993
0,item_001,Gadget B,buyer_t0_004,seller_t0_002,False,,rejected,10,52.61,118.1,0.0,0.0
0,item_004,Gizmo E,buyer_t0_001,seller_t0_005,True,49.29,accepted,3,79.87,41.23,30.580000000000005,8.060000000000002
0,item_002,Doohickey C,buyer_t0_007,seller_t0_008,False,,rejected,10,138.67,114.78,0.0,0.0
0,item_001,Gadget B,buyer_t0_002,seller_t0_009,True,78.68,accepted,3,116.84,63.0,38.16,15.680000000000007
0,item_002,Doohickey C,buyer_t0_005,seller_t0_004,False,,rejected,10,84.46,114.91,0.0,0.0
0,item_001,Gadget B,buyer_t0_009,seller_t0_003,True,93.24,accepted,3,118.74,63.0,25.5,30.239999999999995
