condition,session_id,role,round,offer_price
rule_based,1,buyer,0,60.0
rule_based,1,seller,1,101.33
rule_based,2,buyer,0,60.0
rule_based,2,seller,1,101.33
rule_based,3,buyer,0,60.0
rule_based,3,seller,1,101.33
rule_based,4,buyer,0,60.0
rule_based,4,seller,1,101.33
rule_based,5,buyer,0,60.0
rule_based,5,seller,1,101.33
rule_based,6,buyer,0,60.0
rule_based,6,seller,1,101.33
rule_based,7,buyer,0,60.0
rule_based,7,seller,1,101.33
rule_based,8,buyer,0,60.0
rule_based,8,seller,1,101.33
rule_based,9,buyer,0,60.0
rule_based,9,seller,1,101.33
rule_based,10,buyer,0,60.0
rule_based,10,seller,1,101.33
rule_based,11,buyer,0,60.0
rule_based,11,seller,1,101.33
rule_based,12,buyer,0,60.0
rule_based,12,seller,1,101.33
rule_based,13,buyer,0,60.0
rule_based,13,seller,1,101.33
rule_based,14,buyer,0,60.0
rule_based,14,seller,1,101.33
rule_based,15,buyer,0,60.0
rule_based,15,seller,1,101.33
rule_based,16,buyer,0,60.0
rule_based,16,seller,1,101.33
rule_based,17,buyer,0,60.0
rule_based,17,seller,1,101.33
rule_based,18,buyer,0,60.0
rule_based,18,seller,1,101.33
rule_based,19,buyer,0,60.0
rule_based,19,seller,1,101.33
rule_based,20,buyer,0,60.0
rule_based,20,seller,1,101.33
rule_based,21,buyer,0,60.0
rule_based,21,seller,1,101.33
rule_based,22,buyer,0,60.0
rule_based,22,seller,1,101.33
rule_based,23,buyer,0,60.0
rule_based,23,seller,1,101.33
rule_based,24,buyer,0,60.0
rule_based,24,seller,1,101.33
rule_based,25,buyer,0,60.0
rule_based,25,seller,1,101.33
rule_based,26,buyer,0,60.0
rule_based,26,seller,1,101.33
rule_based,27,buyer,0,60.0
rule_based,27,seller,1,101.33
rule_based,28,buyer,0,60.0
rule_based,28,seller,1,101.33
rule_based,29,buyer,0,60.0
rule_based,29,seller,1,101.33
rule_based,30,buyer,0,60.0
rule_based,30,seller,1,101.33
rule_based,31,buyer,0,60.0
rule_based,31,seller,1,101.33
rule_based,32,buyer,0,60.0
rule_based,32,seller,1,101.33
rule_based,33,buyer,0,60.0
rule_based,33,seller,1,101.33
rule_based,34,buyer,0,60.0
rule_based,34,seller,1,101.33
rule_based,35,buyer,0,60.0
rule_based,35,seller,1,101.33
rule_based,36,buyer,0,60.0
rule_based,36,seller,1,101.33
rule_based,37,buyer,0,60.0
rule_based,37,seller,1,101.33
rule_based,38,buyer,0,60.0
rule_based,38,seller,1,101.33
rule_based,39,buyer,0,60.0
rule_based,39,seller,1,101.33
rule_based,40,buyer,0,60.0
rule_based,40,seller,1,101.33
rule_based,41,buyer,0,60.0
rule_based,41,seller,1,101.33
rule_based,42,buyer,0,60.0
rule_based,42,seller,1,101.33
rule_based,43,buyer,0,60.0
rule_based,43,seller,1,101.33
rule_based,44,buyer,0,60.0
rule_based,44,seller,1,101.33
rule_based,45,buyer,0,60.0
rule_based,45,seller,1,101.33
rule_based,46,buyer,0,60.0
rule_based,46,seller,1,101.33
rule_based,47,buyer,0,60.0
rule_based,47,seller,1,101.33
rule_based,48,buyer,0,60.0
rule_based,48,seller,1,101.33
rule_based,49,buyer,0,60.0
rule_based,49,seller,1,101.33
rule_based,50,buyer,0,60.0
rule_based,50,seller,1,101.33
rule_based,51,buyer,0,60.0
rule_based,51,seller,1,101.33
rule_based,52,buyer,0,60.0
rule_based,52,seller,1,101.33
rule_based,53,buyer,0,60.0
rule_based,53,seller,1,101.33
rule_based,54,buyer,0,60.0
rule_based,54,seller,1,101.33
rule_based,55,buyer,0,60.0
rule_based,55,seller,1,101.33
rule_based,56,buyer,0,60.0
rule_based,56,seller,1,101.33
rule_based,57,buyer,0,60.0
rule_based,57,seller,1,101.33
rule_based,58,buyer,0,60.0
rule_based,58,seller,1,101.33
rule_based,59,buyer,0,60.0
rule_based,59,seller,1,101.33
rule_based,60,buyer,0,60.0
rule_based,60,seller,1,101.33
rule_based,61,buyer,0,60.0
rule_based,61,seller,1,101.33
rule_based,62,buyer,0,60.0
rule_based,62,seller,1,101.33
rule_based,63,buyer,0,60.0
rule_based,63,seller,1,101.33
rule_based,64,buyer,0,60.0
rule_based,64,seller,1,101.33
rule_based,65,buyer,0,60.0
rule_based,65,seller,1,101.33
rule_based,66,buyer,0,60.0
rule_based,66,seller,1,101.33
rule_based,67,buyer,0,60.0
rule_based,67,seller,1,101.33
rule_based,68,buyer,0,60.0
rule_based,68,seller,1,101.33
rule_based,69,buyer,0,60.0
rule_based,69,seller,1,101.33
rule_based,70,buyer,0,60.0
rule_based,70,seller,1,101.33
rule_based,71,buyer,0,60.0
rule_based,71,seller,1,101.33
rule_based,72,buyer,0,60.0
rule_based,72,seller,1,101.33
rule_based,73,buyer,0,60.0
rule_based,73,seller,1,101.33
rule_based,74,buyer,0,60.0
rule_based,74,seller,1,101.33
rule_based,75,buyer,0,60.0
rule_based,75,seller,1,101.33
rule_based,76,buyer,0,60.0
rule_based,76,seller,1,101.33
rule_based,77,buyer,0,60.0
rule_based,77,seller,1,101.33
rule_based,78,buyer,0,60.0
rule_based,78,seller,1,101.33
rule_based,79,buyer,0,60.0
rule_based,79,seller,1,101.33
rule_based,80,buyer,0,60.0
rule_based,80,seller,1,101.33
rule_based,81,buyer,0,60.0
rule_based,81,seller,1,101.33
rule_based,82,buyer,0,60.0
rule_based,82,seller,1,101.33
rule_based,83,buyer,0,60.0
rule_based,83,seller,1,101.33
rule_based,84,buyer,0,60.0
rule_based,84,seller,1,101.33
rule_based,85,buyer,0,60.0
rule_based,85,seller,1,101.33
rule_based,86,buyer,0,60.0
rule_based,86,seller,1,101.33
rule_based,87,buyer,0,60.0
rule_based,87,seller,1,101.33
rule_based,88,buyer,0,60.0
rule_based,88,seller,1,101.33
rule_based,89,buyer,0,60.0
rule_based,89,seller,1,101.33
rule_based,90,buyer,0,60.0
rule_based,90,seller,1,101.33
rule_based,91,buyer,0,60.0
rule_based,91,seller,1,101.33
rule_based,92,buyer,0,60.0
rule_based,92,seller,1,101.33
rule_based,93,buyer,0,60.0
rule_based,93,seller,1,101.33
