time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_002,Doohickey C,buyer_t0_007,seller_t0_004,True,72.59,accepted,3,81.83,54.99,9.239999999999995,17.6
0,item_002,Doohickey C,buyer_t0_014,seller_t0_011,True,65.22,accepted,2,130.45,62.04,65.22999999999999,3.1799999999999997
0,item_000,Widget A,buyer_t0_010,seller_t0_005,False,,rejected,3,133.09,111.0,0.0,0.0
0,item_003,Thingamajig D,buyer_t0_012,seller_t0_001,True,118.44,accepted,4,129.98,113.74,11.539999999999992,4.700000000000003
0,item_001,Gadget B,buyer_t0_000,seller_t0_014,False,,rejected,3,115.03,91.09,0.0,0.0
0,item_001,Gadget B,buyer_t0_013,seller_t0_012,True,70.61,accepted,2,141.21,67.21,70.60000000000001,3.4000000000000057
0,item_001,Gadget B,buyer_t0_001,seller_t0_013,False,,rejected,3,128.47,110.71,0.0,0.0
0,item_001,Gadget B,buyer_t0_005,seller_t0_010,True,126.53,accepted,3,147.33,103.71,20.80000000000001,22.820000000000007
0,item_003,Thingamajig D,buyer_t0_011,seller_t0_003,True,61.92,accepted,2,123.84,58.73,61.92,3.190000000000005
0,item_003,Thingamajig D,buyer_t0_004,seller_t0_002,False,,rejected,3,140.52,116.04,0.0,0.0
0,item_000,Widget A,buyer_t0_008,seller_t0_006,False,,rejected,3,104.12,115.94,0.0,0.0
0,item_003,Thingamajig D,buyer_t0_003,seller_t0_009,True,72.69,accepted,2,145.38,72.47,72.69,0.21999999999999886
0,item_000,Widget A,buyer_t0_006,seller_t0_007,False,,rejected,3,85.1,104.0,0.0,0.0
0,item_002,Doohickey C,buyer_t0_009,seller_t0_000,True,115.76,accepted,3,121.83,86.39,6.069999999999993,29.370000000000005
0,item_004,Gizmo E,buyer_t0_002,seller_t0_008,False,,rejected,3,100.45,90.06,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_004,seller_t1_007,False,,rejected,3,82.76,64.23,0.0,0.0
1,item_000,Widget A,buyer_t1_012,seller_t1_014,True,90.58,accepted,3,120.61,72.13,30.03,18.450000000000003
1,item_001,Gadget B,buyer_t1_011,seller_t1_004,True,71.93,accepted,3,98.13,63.1,26.19999999999999,8.830000000000005
1,item_004,Gizmo E,buyer_t1_002,seller_t1_010,True,52.48,accepted,2,123.85,51.31,71.37,1.1699999999999946
1,item_000,Widget A,buyer_t1_005,seller_t1_006,True,114.58,accepted,3,115.06,90.94,0.480000000000004,23.64
1,item_003,Thingamajig D,buyer_t1_003,seller_t1_009,True,95.33,accepted,3,109.56,75.66,14.230000000000004,19.67
1,item_004,Gizmo E,buyer_t1_009,seller_t1_002,False,,rejected,3,81.98,119.95,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_000,seller_t1_012,False,,rejected,3,88.56,85.72,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_010,seller_t1_001,False,,rejected,3,93.73,105.17,0.0,0.0
1,item_002,Doohickey C,buyer_t1_014,seller_t1_008,False,,rejected,3,112.8,106.07,0.0,0.0
1,item_000,Widget A,buyer_t1_013,seller_t1_013,False,,rejected,3,108.32,99.54,0.0,0.0
1,item_001,Gadget B,buyer_t1_008,seller_t1_003,False,,rejected,3,115.15,92.32,0.0,0.0
1,item_001,Gadget B,buyer_t1_006,seller_t1_000,True,109.04,accepted,3,143.46,94.0,34.42,15.040000000000006
1,item_000,Widget A,buyer_t1_001,seller_t1_011,True,72.56,accepted,3,127.0,61.33,54.44,11.230000000000004
1,item_000,Widget A,buyer_t1_007,seller_t1_005,False,,rejected,3,139.22,117.31,0.0,0.0
2,item_000,Widget A,buyer_t2_001,seller_t2_006,True,83.37,accepted,3,106.87,66.17,23.5,17.200000000000003
2,item_001,Gadget B,buyer_t2_005,seller_t2_008,True,71.66,accepted,3,92.05,62.86,20.39,8.799999999999997
2,item_002,Doohickey C,buyer_t2_004,seller_t2_003,True,105.15,accepted,3,110.1,84.8,4.949999999999989,20.35000000000001
2,item_003,Thingamajig D,buyer_t2_014,seller_t2_010,True,82.03,accepted,3,119.12,66.15,37.09,15.879999999999995
2,item_000,Widget A,buyer_t2_011,seller_t2_013,True,80.78,accepted,3,131.14,69.95,50.359999999999985,10.829999999999998
2,item_004,Gizmo E,buyer_t2_002,seller_t2_004,False,,rejected,3,102.29,104.88,0.0,0.0
2,item_000,Widget A,buyer_t2_013,seller_t2_014,True,79.44,accepted,3,87.53,55.54,8.090000000000003,23.9
2,item_001,Gadget B,buyer_t2_012,seller_t2_011,True,100.42,accepted,3,127.23,86.57,26.810000000000002,13.850000000000009
2,item_003,Thingamajig D,buyer_t2_000,seller_t2_007,False,,rejected,3,107.37,106.99,0.0,0.0
2,item_004,Gizmo E,buyer_t2_008,seller_t2_009,False,,rejected,3,106.78,86.21,0.0,0.0
2,item_003,Thingamajig D,buyer_t2_003,seller_t2_000,True,89.47,accepted,3,139.12,77.13,49.650000000000006,12.340000000000003
2,item_000,Widget A,buyer_t2_006,seller_t2_001,False,,rejected,3,87.53,118.27,0.0,0.0
2,item_002,Doohickey C,buyer_t2_007,seller_t2_005,True,99.14,accepted,3,105.86,76.26,6.719999999999999,22.879999999999995
2,item_003,Thingamajig D,buyer_t2_010,seller_t2_012,True,82.42,accepted,3,99.55,72.3,17.129999999999995,10.120000000000005
2,item_001,Gadget B,buyer_t2_009,seller_t2_002,False,,rejected,3,141.79,85.92,0.0,0.0
3,item_002,Doohickey C,buyer_t3_002,seller_t3_001,False,,rejected,3,107.42,110.43,0.0,0.0
3,item_004,Gizmo E,buyer_t3_010,seller_t3_013,True,135.98,accepted,3,149.3,107.92,13.320000000000022,28.059999999999988
3,item_003,Thingamajig D,buyer_t3_000,seller_t3_008,False,,rejected,3,86.29,98.23,0.0,0.0
3,item_001,Gadget B,buyer_t3_001,seller_t3_006,False,,rejected,3,133.35,119.92,0.0,0.0
3,item_000,Widget A,buyer_t3_007,seller_t3_004,True,70.16,accepted,2,140.32,68.99,70.16,1.1700000000000017
3,item_001,Gadget B,buyer_t3_011,seller_t3_007,True,69.95,accepted,3,90.55,54.65,20.599999999999994,15.300000000000004
3,item_003,Thingamajig D,buyer_t3_008,seller_t3_014,False,,rejected,3,92.46,86.56,0.0,0.0
3,item_002,Doohickey C,buyer_t3_014,seller_t3_012,False,,rejected,3,99.12,74.31,0.0,0.0
3,item_002,Doohickey C,buyer_t3_013,seller_t3_002,True,96.31,accepted,3,114.23,85.99,17.92,10.320000000000007
3,item_002,Doohickey C,buyer_t3_006,seller_t3_010,False,,rejected,3,108.3,115.9,0.0,0.0
