tick,num_sessions,deals_made,liquidity,mean_price,price_std,buyer_surplus_mean,seller_surplus_mean
0,15,8,0.5333,87.97,27.14,39.76,10.56
1,15,7,0.4667,86.64,22.19,33.02,14.0
2,15,10,0.6667,87.39,10.81,24.47,15.62
3,15,8,0.5333,80.71,25.23,34.45,11.79
4,15,8,0.5333,78.19,17.39,35.62,15.94
5,15,7,0.4667,90.86,7.12,30.19,17.84
6,15,5,0.3333,82.27,14.32,33.0,16.88
7,15,8,0.5333,99.69,19.78,15.65,14.33
8,15,10,0.6667,91.44,24.51,37.31,20.48
9,15,7,0.4667,101.48,25.66,24.94,16.37
10,15,5,0.3333,85.99,21.73,43.06,17.13
11,15,6,0.4,103.66,24.36,25.32,20.03
12,15,6,0.4,79.73,16.83,46.05,13.91
13,15,6,0.4,78.12,20.95,45.43,13.47
14,15,2,0.1333,95.16,22.71,22.54,19.57
15,15,10,0.6667,93.02,19.02,27.34,18.79
16,15,7,0.4667,110.03,16.71,19.82,21.17
17,15,7,0.4667,87.99,21.61,41.34,13.9
18,15,9,0.6,86.72,22.05,34.62,18.63
19,15,8,0.5333,81.09,19.8,49.68,14.17
20,15,7,0.4667,91.55,22.6,29.43,18.2
21,15,10,0.6667,85.19,23.55,34.65,14.23
22,15,9,0.6,94.85,24.25,32.82,17.25
23,15,7,0.4667,98.73,17.49,17.58,22.59
24,15,12,0.8,91.86,19.87,28.56,15.42
25,15,10,0.6667,86.9,16.97,38.53,14.43
26,15,10,0.6667,89.17,23.51,32.63,18.12
27,15,7,0.4667,82.39,17.19,35.3,17.18
28,15,10,0.6667,86.25,18.98,45.1,13.44
29,15,9,0.6,88.13,16.3,30.25,16.57
