time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_004,Gizmo E,buyer_t0_003,seller_t0_004,False,,rejected,3,85.1,75.67,0.0,0.0
0,item_002,Doohickey C,buyer_t0_005,seller_t0_001,True,72.59,accepted,3,104.12,54.99,31.53,17.6
0,item_000,Widget A,buyer_t0_014,seller_t0_008,True,73.02,accepted,2,146.04,68.05,73.02,4.969999999999999
0,item_003,Thingamajig D,buyer_t0_004,seller_t0_010,False,,rejected,3,81.83,107.27,0.0,0.0
0,item_001,Gadget B,buyer_t0_008,seller_t0_007,True,62.44,accepted,2,124.88,60.04,62.44,2.3999999999999986
0,item_001,Gadget B,buyer_t0_013,seller_t0_005,False,,rejected,3,105.67,91.23,0.0,0.0
0,item_002,Doohickey C,buyer_t0_006,seller_t0_011,True,80.75,accepted,3,121.83,66.19,41.08,14.560000000000002
0,item_004,Gizmo E,buyer_t0_001,seller_t0_000,True,70.48,accepted,3,100.91,58.73,30.429999999999993,11.750000000000007
0,item_000,Widget A,buyer_t0_002,seller_t0_009,False,,rejected,3,126.79,89.95,0.0,0.0
0,item_003,Thingamajig D,buyer_t0_009,seller_t0_006,True,105.35,accepted,3,128.12,71.18,22.77000000000001,34.16999999999999
0,item_004,Gizmo E,buyer_t0_011,seller_t0_002,False,,rejected,3,114.7,111.0,0.0,0.0
0,item_001,Gadget B,buyer_t0_010,seller_t0_012,True,79.38,accepted,3,112.63,61.06,33.25,18.319999999999993
0,item_001,Gadget B,buyer_t0_012,seller_t0_014,True,101.86,accepted,3,148.52,80.84,46.66000000000001,21.019999999999996
0,item_001,Gadget B,buyer_t0_007,seller_t0_013,True,83.65,accepted,3,142.07,69.71,58.41999999999999,13.940000000000012
0,item_003,Thingamajig D,buyer_t0_000,seller_t0_003,False,,rejected,4,115.03,115.94,0.0,0.0
