condition,seed,tick,mean_price,price_std,liquidity
no_shock,42,0,87.42,17.49,0.7333
no_shock,42,1,90.84,27.31,0.3333
no_shock,42,2,88.88,14.03,0.4667
no_shock,42,3,85.29,22.49,0.6
no_shock,42,4,85.38,23.31,0.5333
no_shock,42,5,98.25,28.53,0.3333
no_shock,42,6,86.47,13.6,0.6
no_shock,42,7,91.34,21.48,0.4667
no_shock,42,8,90.46,14.86,0.6
no_shock,42,9,102.42,24.27,0.6
no_shock,42,10,90.76,17.37,0.4
no_shock,42,11,94.37,23.28,0.6
no_shock,42,12,84.13,17.85,0.7333
no_shock,42,13,100.68,27.51,0.6667
no_shock,42,14,91.12,21.66,0.4667
no_shock,42,15,98.42,23.58,0.6667
no_shock,42,16,91.25,21.72,0.4
no_shock,42,17,86.6,25.65,0.2667
no_shock,42,18,94.72,26.77,0.6
no_shock,42,19,92.55,18.94,0.4
no_shock,42,20,81.16,13.17,0.3333
no_shock,42,21,84.93,23.15,0.4667
no_shock,42,22,104.76,15.3,0.7333
no_shock,42,23,88.12,17.05,0.6
no_shock,42,24,97.41,14.37,0.7333
no_shock,42,25,78.07,13.89,0.7333
no_shock,42,26,93.52,19.72,0.4667
no_shock,42,27,86.01,15.16,0.3333
no_shock,42,28,92.21,24.48,0.8667
no_shock,42,29,89.94,22.92,0.5333
with_shock,42,0,81.06,14.26,0.6
with_shock,42,1,86.6,23.97,0.2
with_shock,42,2,96.38,6.42,0.2667
with_shock,42,3,69.95,18.11,0.8
with_shock,42,4,86.84,21.56,0.5333
with_shock,42,5,91.9,20.88,0.4
with_shock,42,6,88.38,19.78,0.6
with_shock,42,7,93.94,20.82,0.5333
with_shock,42,8,95.05,15.42,0.6667
with_shock,42,9,98.23,22.34,0.6
with_shock,42,10,89.67,13.69,0.4
with_shock,42,11,99.6,27.72,0.6
with_shock,42,12,80.64,18.33,0.7333
with_shock,42,13,89.68,28.22,0.5333
with_shock,42,14,90.44,24.21,0.2
with_shock,42,15,91.69,22.7,0.4667
with_shock,42,16,77.27,22.48,0.4
with_shock,42,17,100.82,21.39,0.8667
with_shock,42,18,90.47,21.97,0.5333
with_shock,42,19,93.48,21.21,0.4667
with_shock,42,20,93.17,25.94,0.4
with_shock,42,21,83.77,15.31,0.4
with_shock,42,22,98.65,23.02,0.4
with_shock,42,23,85.08,15.68,0.5333
with_shock,42,24,92.21,17.83,0.7333
with_shock,42,25,79.03,14.06,0.7333
with_shock,42,26,82.1,10.55,0.1333
with_shock,42,27,90.07,17.42,0.4
with_shock,42,28,86.49,21.13,0.7333
with_shock,42,29,80.37,20.06,0.4667
