time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_001,Gadget B,buyer_t0_009,seller_t0_008,True,63.77,accepted,2,127.54,61.99,63.77,1.7800000000000011
0,item_004,Gizmo E,buyer_t0_002,seller_t0_001,True,77.94,accepted,2,159.43,70.85,81.49000000000001,7.090000000000003
0,item_000,Widget A,buyer_t0_001,seller_t0_006,True,81.8,accepted,3,139.07,74.36,57.269999999999996,7.439999999999998
0,item_002,Doohickey C,buyer_t0_005,seller_t0_007,True,118.08,accepted,3,149.07,103.58,30.989999999999995,14.5
0,item_001,Gadget B,buyer_t0_000,seller_t0_005,True,98.39,accepted,3,102.24,74.54,3.8499999999999943,23.849999999999994
0,item_002,Doohickey C,buyer_t0_004,seller_t0_003,True,104.79,accepted,3,138.39,74.85,33.59999999999998,29.940000000000012
0,item_004,Gizmo E,buyer_t0_003,seller_t0_002,True,83.22,accepted,2,166.43,74.05,83.21000000000001,9.170000000000002
0,item_004,Gizmo E,buyer_t0_006,seller_t0_004,True,75.5,accepted,3,117.56,63.98,42.06,11.520000000000003
0,item_000,Widget A,buyer_t0_008,seller_t0_009,True,102.54,accepted,3,139.5,70.23,36.959999999999994,32.31
0,item_004,Gizmo E,buyer_t0_007,seller_t0_000,False,,rejected,3,152.78,116.85,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_007,seller_t1_002,False,,rejected,3,104.52,105.09,0.0,0.0
1,item_000,Widget A,buyer_t1_004,seller_t1_007,True,76.12,accepted,3,134.46,69.2,58.34,6.920000000000002
1,item_001,Gadget B,buyer_t1_006,seller_t1_003,True,75.66,accepted,3,103.35,66.37,27.689999999999998,9.289999999999992
1,item_001,Gadget B,buyer_t1_002,seller_t1_009,True,119.01,accepted,4,151.16,118.24,32.14999999999999,0.7700000000000102
1,item_004,Gizmo E,buyer_t1_008,seller_t1_001,False,,rejected,3,109.14,92.13,0.0,0.0
1,item_002,Doohickey C,buyer_t1_001,seller_t1_004,False,,rejected,3,121.89,115.66,0.0,0.0
1,item_002,Doohickey C,buyer_t1_000,seller_t1_005,True,57.77,accepted,2,147.07,55.65,89.29999999999998,2.1200000000000045
1,item_000,Widget A,buyer_t1_003,seller_t1_000,False,,rejected,3,109.7,97.6,0.0,0.0
1,item_001,Gadget B,buyer_t1_005,seller_t1_006,False,,rejected,3,105.9,95.2,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_009,seller_t1_008,True,99.73,accepted,3,165.4,81.75,65.67,17.980000000000004
2,item_003,Thingamajig D,buyer_t2_004,seller_t2_005,True,78.94,accepted,2,164.99,51.63,86.05000000000001,27.309999999999995
2,item_001,Gadget B,buyer_t2_001,seller_t2_003,True,55.98,accepted,2,143.89,55.7,87.91,0.27999999999999403
