condition,seed,tick,num_sessions,deals_made,liquidity,mean_price,price_std,buyer_surplus_mean,seller_surplus_mean
random,42,0,10,4,0.4,100.51,34.73,38.26,22.68
random,42,1,10,5,0.5,95.71,25.33,24.58,17.09
random,42,2,10,4,0.4,89.38,13.35,25.2,17.13
random,42,3,10,6,0.6,79.39,12.67,28.38,13.06
random,42,4,10,6,0.6,77.51,25.28,50.33,10.14
random,42,5,10,4,0.4,97.78,14.79,23.26,22.95
random,42,6,10,3,0.3,78.6,19.45,39.78,13.88
random,42,7,10,7,0.7,96.91,16.64,18.26,18.57
random,42,8,10,7,0.7,94.1,16.59,28.08,17.0
random,42,9,10,8,0.8,96.83,20.29,28.6,18.19
random,123,0,10,8,0.8,92.36,14.86,29.77,18.12
random,123,1,10,5,0.5,85.66,23.87,34.63,7.42
random,123,2,10,7,0.7,78.42,14.22,33.16,16.97
random,123,3,10,6,0.6,108.5,19.13,19.57,26.14
random,123,4,10,6,0.6,84.21,27.1,32.54,12.51
random,123,5,10,7,0.7,87.57,17.06,51.59,14.77
random,123,6,10,7,0.7,92.11,16.97,28.63,17.55
random,123,7,10,5,0.5,97.77,18.71,28.83,14.24
random,123,8,10,8,0.8,83.28,6.92,26.81,18.36
random,123,9,10,4,0.4,97.64,18.13,18.79,13.02
random,456,0,10,4,0.4,86.36,20.87,36.73,14.09
random,456,1,10,4,0.4,100.39,21.81,25.11,24.11
random,456,2,10,5,0.5,97.59,14.22,22.89,24.74
random,456,3,10,7,0.7,102.42,18.82,25.49,20.27
random,456,4,10,6,0.6,82.84,23.37,42.36,15.77
random,456,5,10,5,0.5,86.82,10.38,39.49,19.41
random,456,6,10,5,0.5,94.11,17.94,43.18,13.77
random,456,7,10,3,0.3,106.88,9.55,24.84,27.85
random,456,8,10,5,0.5,92.42,15.55,18.81,18.34
random,456,9,10,6,0.6,90.9,11.46,26.36,18.13
surplus_max,42,0,7,4,0.5714,97.44,28.43,42.99,23.95
surplus_max,42,1,7,6,0.8571,90.22,19.53,37.08,15.77
surplus_max,42,2,8,4,0.5,89.17,13.34,35.43,16.92
surplus_max,42,3,8,5,0.625,74.63,8.36,50.93,12.09
surplus_max,42,4,8,6,0.75,83.01,21.41,49.93,15.64
surplus_max,42,5,6,5,0.8333,86.89,13.8,36.53,12.77
surplus_max,42,6,6,5,0.8333,85.08,16.97,36.52,15.31
surplus_max,42,7,8,6,0.75,88.58,16.46,36.33,16.84
surplus_max,42,8,9,7,0.7778,93.52,17.5,35.74,16.42
surplus_max,42,9,8,6,0.75,89.88,21.92,43.32,16.36
surplus_max,123,0,8,8,1.0,89.1,13.26,37.43,18.49
surplus_max,123,1,5,4,0.8,82.52,11.97,47.0,14.28
surplus_max,123,2,7,7,1.0,78.5,14.14,40.01,17.05
surplus_max,123,3,7,3,0.4286,86.08,11.56,53.83,15.55
surplus_max,123,4,8,5,0.625,73.1,17.48,49.03,8.52
surplus_max,123,5,10,8,0.8,94.0,20.04,47.52,18.29
surplus_max,123,6,9,6,0.6667,86.84,17.18,42.15,15.47
surplus_max,123,7,5,4,0.8,87.62,23.12,44.23,10.37
surplus_max,123,8,8,8,1.0,79.67,13.42,35.79,14.74
surplus_max,123,9,5,5,1.0,96.91,21.33,36.45,18.38
surplus_max,456,0,6,3,0.5,85.26,13.65,53.33,18.81
surplus_max,456,1,7,4,0.5714,84.76,19.96,42.78,10.7
surplus_max,456,2,9,4,0.4444,91.43,9.89,46.84,23.02
surplus_max,456,3,8,5,0.625,95.99,15.46,35.2,17.65
surplus_max,456,4,8,6,0.75,77.3,15.49,53.62,14.5
surplus_max,456,5,7,5,0.7143,82.96,12.66,50.0,15.54
surplus_max,456,6,8,5,0.625,94.92,18.94,44.19,14.66
surplus_max,456,7,6,3,0.5,97.47,9.32,51.92,21.63
surplus_max,456,8,6,5,0.8333,89.01,15.7,29.19,17.98
surplus_max,456,9,8,6,0.75,91.23,11.5,41.77,18.46
