time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_002,Doohickey C,buyer_t0_005,seller_t0_009,True,73.67,accepted,2,147.33,54.99,73.66000000000001,18.68
0,item_004,Gizmo E,buyer_t0_003,seller_t0_008,True,72.69,accepted,2,145.38,58.73,72.69,13.96
0,item_002,Doohickey C,buyer_t0_004,seller_t0_005,True,115.76,accepted,3,140.52,86.39,24.760000000000005,29.370000000000005
0,item_000,Widget A,buyer_t0_001,seller_t0_001,True,127.62,accepted,3,128.47,93.84,0.8499999999999943,33.78
0,item_004,Gizmo E,buyer_t0_009,seller_t0_002,False,,rejected,3,121.83,99.98,0.0,0.0
0,item_004,Gizmo E,buyer_t0_000,seller_t0_004,False,,rejected,3,115.03,100.45,0.0,0.0
0,item_004,Gizmo E,buyer_t0_008,seller_t0_000,False,,rejected,3,104.12,103.09,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_006,seller_t1_009,True,67.38,accepted,2,143.46,63.1,76.08000000000001,4.279999999999994
1,item_000,Widget A,buyer_t1_007,seller_t1_000,True,69.61,accepted,2,139.22,63.73,69.61,5.880000000000003
1,item_004,Gizmo E,buyer_t1_001,seller_t1_001,True,92.66,accepted,3,127.0,68.13,34.34,24.53
1,item_002,Doohickey C,buyer_t1_002,seller_t1_003,True,87.72,accepted,3,123.85,78.32,36.129999999999995,9.400000000000006
1,item_003,Thingamajig D,buyer_t1_008,seller_t1_004,True,113.38,accepted,4,115.15,82.8,1.7700000000000102,30.58
1,item_000,Widget A,buyer_t1_005,seller_t1_002,True,110.54,accepted,3,115.06,90.61,4.519999999999996,19.930000000000007
1,item_001,Gadget B,buyer_t1_003,seller_t1_008,False,,rejected,3,109.56,92.32,0.0,0.0
2,item_003,Thingamajig D,buyer_t2_009,seller_t2_003,True,72.49,accepted,3,141.79,57.53,69.3,14.959999999999994
2,item_000,Widget A,buyer_t2_003,seller_t2_000,True,89.56,accepted,3,139.12,69.55,49.56,20.010000000000005
2,item_003,Thingamajig D,buyer_t2_004,seller_t2_005,True,89.47,accepted,3,110.1,77.13,20.629999999999995,12.340000000000003
2,item_003,Thingamajig D,buyer_t2_000,seller_t2_008,True,105.15,accepted,3,107.37,84.8,2.219999999999999,20.35000000000001
2,item_004,Gizmo E,buyer_t2_001,seller_t2_007,False,,rejected,3,106.87,85.92,0.0,0.0
