condition,seed,tick,num_sessions,deals_made,liquidity,mean_price,price_std,buyer_surplus_mean,seller_surplus_mean
random,42,0,5,3,0.6,72.74,16.59,60.91,12.39
random,42,1,5,2,0.4,83.12,21.98,24.66,14.61
random,42,2,5,4,0.8,85.24,8.65,30.62,17.19
random,42,3,5,2,0.4,69.95,12.37,26.91,10.9
random,42,4,5,3,0.6,103.64,22.28,25.2,17.6
random,123,0,5,3,0.6,114.33,12.45,20.64,25.63
random,123,1,5,4,0.8,68.24,9.99,41.06,12.51
random,123,2,5,5,1.0,88.0,20.2,32.63,22.16
random,123,3,5,1,0.2,57.79,0,57.79,1.12
random,123,4,5,1,0.2,108.29,0,11.98,23.69
surplus_max,42,0,4,3,0.75,77.79,11.01,60.33,17.44
surplus_max,42,1,3,2,0.6667,76.83,30.89,48.6,8.3
surplus_max,42,2,4,4,1.0,80.05,16.25,35.82,11.99
surplus_max,42,3,3,2,0.6667,72.69,8.51,47.7,13.64
surplus_max,42,4,4,2,0.5,89.43,29.73,45.29,13.75
surplus_max,123,0,4,2,0.5,87.01,19.5,55.92,14.46
surplus_max,123,1,4,4,1.0,61.25,4.76,57.39,5.52
surplus_max,123,2,5,4,0.8,82.3,15.18,47.48,18.94
surplus_max,123,3,3,2,0.6667,84.73,37.38,31.37,5.87
surplus_max,123,4,4,2,0.5,102.23,1.46,11.67,14.82
