time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_000,Widget A,buyer_t0_003,seller_t0_002,True,72.69,accepted,2,145.38,51.83,72.69,20.86
0,item_004,Gizmo E,buyer_t0_004,seller_t0_001,True,70.26,accepted,2,140.52,55.1,70.26,15.160000000000004
0,item_001,Gadget B,buyer_t0_001,seller_t0_003,True,90.43,accepted,3,128.47,74.12,38.03999999999999,16.310000000000002
0,item_000,Widget A,buyer_t0_000,seller_t0_004,False,,rejected,3,115.03,91.83,0.0,0.0
1,item_001,Gadget B,buyer_t1_001,seller_t1_004,True,54.98,accepted,2,127.0,51.98,72.02000000000001,3.0
1,item_000,Widget A,buyer_t1_002,seller_t1_000,True,98.67,accepted,3,123.85,85.06,25.179999999999993,13.61
1,item_002,Doohickey C,buyer_t1_003,seller_t1_003,False,,rejected,3,109.56,85.15,0.0,0.0
2,item_002,Doohickey C,buyer_t2_003,seller_t2_001,True,58.6,accepted,3,139.12,57.53,80.52000000000001,1.0700000000000003
2,item_000,Widget A,buyer_t2_004,seller_t2_000,True,76.94,accepted,3,110.1,62.05,33.16,14.89
2,item_003,Thingamajig D,buyer_t2_000,seller_t2_002,True,95.58,accepted,3,107.37,75.86,11.790000000000006,19.72
2,item_001,Gadget B,buyer_t2_001,seller_t2_003,True,89.06,accepted,3,106.87,76.78,17.810000000000002,12.280000000000001
3,item_004,Gizmo E,buyer_t3_001,seller_t3_000,True,66.67,accepted,2,133.35,55.64,66.67999999999999,11.030000000000001
3,item_001,Gadget B,buyer_t3_002,seller_t3_003,True,78.7,accepted,3,107.42,62.46,28.72,16.240000000000002
3,item_003,Thingamajig D,buyer_t3_004,seller_t3_001,False,,rejected,3,87.15,78.3,0.0,0.0
4,item_002,Doohickey C,buyer_t4_002,seller_t4_004,True,68.41,accepted,2,136.82,59.32,68.41,9.089999999999996
4,item_002,Doohickey C,buyer_t4_001,seller_t4_002,False,,rejected,3,132.62,91.71,0.0,0.0
4,item_004,Gizmo E,buyer_t4_000,seller_t4_000,True,110.45,accepted,3,132.61,92.04,22.16000000000001,18.409999999999997
4,item_004,Gizmo E,buyer_t4_003,seller_t4_001,False,,rejected,3,117.08,106.76,0.0,0.0
