time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_002,Doohickey C,buyer_t0_000,seller_t0_019,True,50.02,accepted,2,100.05,32.31,50.029999999999994,17.71
0,item_003,Thingamajig D,buyer_t0_007,seller_t0_016,False,,rejected,10,138.67,104.89,0.0,0.0
0,item_001,Gadget B,buyer_t0_017,seller_t0_004,True,96.65,accepted,5,137.15,81.37,40.5,15.280000000000001
0,item_003,Thingamajig D,buyer_t0_019,seller_t0_008,True,62.59,accepted,6,86.67,55.34,24.08,7.25
0,item_001,Gadget B,buyer_t0_002,seller_t0_014,False,,rejected,10,116.84,89.32,0.0,0.0
0,item_001,Gadget B,buyer_t0_012,seller_t0_005,True,107.45,accepted,9,147.89,103.63,40.43999999999998,3.8200000000000074
0,item_000,Widget A,buyer_t0_005,seller_t0_009,True,74.46,accepted,9,84.46,69.65,10.0,4.809999999999988
0,item_002,Doohickey C,buyer_t0_008,seller_t0_000,True,92.62,accepted,7,114.12,83.01,21.5,9.61
0,item_000,Widget A,buyer_t0_004,seller_t0_015,False,,rejected,10,52.61,56.61,0.0,0.0
0,item_003,Thingamajig D,buyer_t0_006,seller_t0_007,True,58.35,accepted,3,109.75,44.22,51.4,14.130000000000003
0,item_002,Doohickey C,buyer_t0_011,seller_t0_003,True,67.3,accepted,5,99.57,53.2,32.269999999999996,14.099999999999994
0,item_003,Thingamajig D,buyer_t0_009,seller_t0_013,True,68.24,accepted,3,118.74,48.25,50.5,19.989999999999995
0,item_003,Thingamajig D,buyer_t0_015,seller_t0_012,True,45.0,accepted,5,62.47,39.63,17.47,5.369999999999997
0,item_000,Widget A,buyer_t0_018,seller_t0_001,True,86.3,accepted,3,144.2,57.24,57.89999999999999,29.059999999999995
0,item_000,Widget A,buyer_t0_010,seller_t0_010,True,69.77,accepted,6,96.61,65.28,26.840000000000003,4.489999999999995
0,item_003,Thingamajig D,buyer_t0_016,seller_t0_018,True,46.0,accepted,7,57.12,41.9,11.119999999999997,4.100000000000001
0,item_000,Widget A,buyer_t0_001,seller_t0_011,True,47.89,accepted,3,79.87,40.24,31.980000000000004,7.649999999999999
0,item_002,Doohickey C,buyer_t0_014,seller_t0_006,True,72.17,accepted,2,144.34,50.82,72.17,21.35
0,item_004,Gizmo E,buyer_t0_013,seller_t0_002,True,55.07,accepted,5,86.67,42.9,31.6,12.170000000000002
0,item_002,Doohickey C,buyer_t0_003,seller_t0_017,False,,rejected,10,57.29,62.78,0.0,0.0
1,item_001,Gadget B,buyer_t1_001,seller_t1_012,True,38.14,accepted,3,70.1,32.44,31.959999999999994,5.700000000000003
1,item_002,Doohickey C,buyer_t1_013,seller_t1_005,True,37.42,accepted,3,63.08,31.86,25.659999999999997,5.560000000000002
1,item_004,Gizmo E,buyer_t1_016,seller_t1_001,False,,rejected,10,149.84,97.23,0.0,0.0
1,item_000,Widget A,buyer_t1_017,seller_t1_004,True,69.22,accepted,8,83.07,64.35,13.849999999999994,4.8700000000000045
1,item_004,Gizmo E,buyer_t1_007,seller_t1_006,True,76.16,accepted,7,100.22,60.67,24.060000000000002,15.489999999999995
1,item_001,Gadget B,buyer_t1_015,seller_t1_007,True,90.85,accepted,5,138.07,83.46,47.22,7.390000000000001
1,item_003,Thingamajig D,buyer_t1_009,seller_t1_016,False,,rejected,10,69.62,70.37,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_000,seller_t1_009,True,39.66,accepted,5,62.23,32.19,22.57,7.469999999999999
1,item_000,Widget A,buyer_t1_012,seller_t1_018,True,57.57,accepted,5,82.55,53.82,24.979999999999997,3.75
1,item_002,Doohickey C,buyer_t1_018,seller_t1_019,True,51.92,accepted,3,127.08,36.42,75.16,15.5
1,item_002,Doohickey C,buyer_t1_014,seller_t1_015,True,51.18,accepted,9,59.67,49.5,8.490000000000002,1.6799999999999997
1,item_004,Gizmo E,buyer_t1_011,seller_t1_003,True,121.4,accepted,10,145.87,119.34,24.47,2.0600000000000023
1,item_001,Gadget B,buyer_t1_006,seller_t1_010,True,64.24,accepted,3,123.33,53.73,59.09,10.509999999999998
1,item_003,Thingamajig D,buyer_t1_005,seller_t1_011,True,69.55,accepted,3,119.34,48.57,49.790000000000006,20.979999999999997
1,item_000,Widget A,buyer_t1_002,seller_t1_013,False,,rejected,10,66.55,115.26,0.0,0.0
1,item_001,Gadget B,buyer_t1_019,seller_t1_002,False,,rejected,10,88.73,93.63,0.0,0.0
1,item_000,Widget A,buyer_t1_004,seller_t1_014,True,109.39,accepted,10,115.82,106.59,6.429999999999993,2.799999999999997
1,item_000,Widget A,buyer_t1_003,seller_t1_000,False,,rejected,10,100.65,104.14,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_008,seller_t1_008,False,,rejected,10,52.83,75.9,0.0,0.0
1,item_000,Widget A,buyer_t1_010,seller_t1_017,True,46.38,accepted,4,75.9,42.92,29.520000000000003,3.460000000000001
2,item_002,Doohickey C,buyer_t2_017,seller_t2_012,False,,rejected,10,98.33,99.52,0.0,0.0
2,item_001,Gadget B,buyer_t2_018,seller_t2_008,True,77.03,accepted,8,92.44,67.45,15.409999999999997,9.579999999999998
2,item_000,Widget A,buyer_t2_019,seller_t2_014,True,111.25,accepted,7,143.26,95.59,32.00999999999999,15.659999999999997
2,item_001,Gadget B,buyer_t2_000,seller_t2_007,False,,rejected,10,89.1,119.49,0.0,0.0
2,item_000,Widget A,buyer_t2_008,seller_t2_003,True,49.36,accepted,9,56.6,46.67,7.240000000000002,2.6899999999999977
2,item_003,Thingamajig D,buyer_t2_002,seller_t2_011,True,68.01,accepted,7,81.84,58.69,13.829999999999998,9.320000000000007
2,item_004,Gizmo E,buyer_t2_006,seller_t2_015,False,,rejected,10,63.21,111.83,0.0,0.0
2,item_003,Thingamajig D,buyer_t2_012,seller_t2_013,True,72.95,accepted,7,88.76,59.39,15.810000000000002,13.560000000000002
2,item_003,Thingamajig D,buyer_t2_011,seller_t2_002,False,,rejected,10,63.44,118.61,0.0,0.0
2,item_001,Gadget B,buyer_t2_009,seller_t2_017,True,47.37,accepted,9,56.32,45.39,8.950000000000003,1.9799999999999969
2,item_004,Gizmo E,buyer_t2_007,seller_t2_010,True,53.78,accepted,3,98.98,39.36,45.2,14.420000000000002
2,item_002,Doohickey C,buyer_t2_014,seller_t2_005,True,54.01,accepted,3,101.31,48.05,47.300000000000004,5.960000000000001
2,item_003,Thingamajig D,buyer_t2_003,seller_t2_018,False,,rejected,10,59.3,63.27,0.0,0.0
2,item_003,Thingamajig D,buyer_t2_010,seller_t2_019,True,71.79,accepted,4,117.48,57.98,45.69,13.81000000000001
2,item_002,Doohickey C,buyer_t2_015,seller_t2_006,False,,rejected,10,67.1,80.76,0.0,0.0
2,item_003,Thingamajig D,buyer_t2_004,seller_t2_009,True,57.06,accepted,7,77.09,52.26,20.03,4.800000000000004
2,item_004,Gizmo E,buyer_t2_013,seller_t2_016,True,56.45,accepted,5,147.53,41.13,91.08,15.32
2,item_003,Thingamajig D,buyer_t2_005,seller_t2_001,False,,rejected,10,59.96,119.67,0.0,0.0
2,item_003,Thingamajig D,buyer_t2_001,seller_t2_004,False,,rejected,10,88.39,115.23,0.0,0.0
2,item_000,Widget A,buyer_t2_016,seller_t2_000,False,,rejected,10,121.52,90.84,0.0,0.0
3,item_004,Gizmo E,buyer_t3_001,seller_t3_018,True,101.98,accepted,7,126.22,91.26,24.239999999999995,10.719999999999999
3,item_003,Thingamajig D,buyer_t3_009,seller_t3_012,True,79.36,accepted,3,141.47,52.85,62.11,26.509999999999998
3,item_004,Gizmo E,buyer_t3_007,seller_t3_009,True,45.46,accepted,5,67.62,37.32,22.160000000000004,8.14
3,item_000,Widget A,buyer_t3_011,seller_t3_019,True,106.5,accepted,10,135.45,102.31,28.94999999999999,4.189999999999998
3,item_004,Gizmo E,buyer_t3_017,seller_t3_015,False,,rejected,10,66.41,114.1,0.0,0.0
3,item_002,Doohickey C,buyer_t3_014,seller_t3_011,False,,rejected,10,53.34,95.42,0.0,0.0
3,item_002,Doohickey C,buyer_t3_012,seller_t3_016,True,67.54,accepted,5,103.49,57.93,35.94999999999999,9.610000000000007
3,item_002,Doohickey C,buyer_t3_018,seller_t3_002,False,,rejected,10,56.65,61.26,0.0,0.0
3,item_004,Gizmo E,buyer_t3_008,seller_t3_014,True,81.07,accepted,5,116.49,62.61,35.42,18.459999999999994
3,item_000,Widget A,buyer_t3_003,seller_t3_010,True,65.36,accepted,2,133.75,48.82,68.39,16.54
3,item_003,Thingamajig D,buyer_t3_016,seller_t3_006,True,56.98,accepted,5,82.75,47.27,25.770000000000003,9.709999999999994
3,item_001,Gadget B,buyer_t3_010,seller_t3_000,False,,rejected,10,70.3,114.73,0.0,0.0
3,item_003,Thingamajig D,buyer_t3_000,seller_t3_013,True,46.66,accepted,7,58.99,43.2,12.330000000000005,3.4599999999999937
3,item_004,Gizmo E,buyer_t3_006,seller_t3_007,False,,rejected,10,70.45,118.23,0.0,0.0
3,item_001,Gadget B,buyer_t3_005,seller_t3_001,True,41.51,accepted,5,65.11,37.24,23.6,4.269999999999996
3,item_000,Widget A,buyer_t3_013,seller_t3_017,True,101.29,accepted,9,108.71,89.88,7.4199999999999875,11.41000000000001
3,item_003,Thingamajig D,buyer_t3_002,seller_t3_003,False,,rejected,10,96.59,104.47,0.0,0.0
3,item_003,Thingamajig D,buyer_t3_004,seller_t3_004,True,99.67,accepted,6,138.0,77.01,38.33,22.659999999999997
3,item_003,Thingamajig D,buyer_t3_019,seller_t3_008,True,87.94,accepted,10,93.11,85.91,5.170000000000002,2.030000000000001
3,item_003,Thingamajig D,buyer_t3_015,seller_t3_005,False,,rejected,10,78.9,84.73,0.0,0.0
4,item_004,Gizmo E,buyer_t4_007,seller_t4_007,False,,rejected,10,98.1,95.29,0.0,0.0
4,item_001,Gadget B,buyer_t4_005,seller_t4_005,True,60.52,accepted,2,121.03,45.91,60.51,14.610000000000007
4,item_004,Gizmo E,buyer_t4_017,seller_t4_000,False,,rejected,10,119.12,109.66,0.0,0.0
4,item_004,Gizmo E,buyer_t4_016,seller_t4_019,True,97.2,accepted,7,133.62,83.96,36.42,13.240000000000009
4,item_003,Thingamajig D,buyer_t4_006,seller_t4_002,False,,rejected,10,97.47,92.75,0.0,0.0
4,item_003,Thingamajig D,buyer_t4_010,seller_t4_001,False,,rejected,10,81.95,116.97,0.0,0.0
4,item_004,Gizmo E,buyer_t4_008,seller_t4_009,True,94.03,accepted,10,99.56,90.48,5.530000000000001,3.549999999999997
