time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_002,Doohickey C,buyer_t0_000,seller_t0_000,True,71.59,accepted,5,100.05,61.01,28.459999999999994,10.580000000000005
0,item_000,Widget A,buyer_t0_004,seller_t0_001,False,,rejected,10,52.61,83.78,0.0,0.0
0,item_002,Doohickey C,buyer_t0_002,seller_t0_002,False,,rejected,10,116.84,109.8,0.0,0.0
0,item_002,Doohickey C,buyer_t0_001,seller_t0_004,False,,rejected,10,79.87,91.87,0.0,0.0
0,item_003,Thingamajig D,buyer_t0_003,seller_t0_003,False,,rejected,10,57.29,87.71,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_001,seller_t1_003,True,39.49,accepted,3,70.1,32.55,30.609999999999992,6.940000000000005
1,item_000,Widget A,buyer_t1_003,seller_t1_001,False,,rejected,10,100.65,96.0,0.0,0.0
1,item_002,Doohickey C,buyer_t1_004,seller_t1_000,True,103.91,accepted,9,115.82,92.41,11.909999999999997,11.5
1,item_003,Thingamajig D,buyer_t1_000,seller_t1_002,False,,rejected,10,62.23,75.19,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_002,seller_t1_004,True,49.77,accepted,7,66.55,47.65,16.779999999999994,2.1200000000000045
