condition,session_id,role,round,offer_price
rule_based,1,buyer,0,60.0
rule_based,1,seller,1,101.33
rule_based,1,buyer,2,73.33
rule_based,1,seller,3,96.0
rule_based,1,buyer,4,86.67
rule_based,1,seller,5,90.67
rule_based,2,buyer,0,60.0
rule_based,2,seller,1,101.33
rule_based,2,buyer,2,73.33
rule_based,2,seller,3,96.0
rule_based,2,buyer,4,86.67
rule_based,2,seller,5,90.67
rule_based,3,buyer,0,60.0
rule_based,3,seller,1,101.33
rule_based,3,buyer,2,73.33
rule_based,3,seller,3,96.0
rule_based,3,buyer,4,86.67
rule_based,3,seller,5,90.67
rule_based,4,buyer,0,60.0
rule_based,4,seller,1,101.33
rule_based,4,buyer,2,73.33
rule_based,4,seller,3,96.0
rule_based,4,buyer,4,86.67
rule_based,4,seller,5,90.67
rule_based,5,buyer,0,60.0
rule_based,5,seller,1,101.33
rule_based,5,buyer,2,73.33
rule_based,5,seller,3,96.0
rule_based,5,buyer,4,86.67
rule_based,5,seller,5,90.67
rule_based,6,buyer,0,60.0
rule_based,6,seller,1,101.33
rule_based,6,buyer,2,73.33
rule_based,6,seller,3,96.0
rule_based,6,buyer,4,86.67
rule_based,6,seller,5,90.67
rule_based,7,buyer,0,60.0
rule_based,7,seller,1,101.33
rule_based,7,buyer,2,73.33
rule_based,7,seller,3,96.0
rule_based,7,buyer,4,86.67
rule_based,7,seller,5,90.67
rule_based,8,buyer,0,60.0
rule_based,8,seller,1,101.33
rule_based,8,buyer,2,73.33
rule_based,8,seller,3,96.0
rule_based,8,buyer,4,86.67
rule_based,8,seller,5,90.67
rule_based,9,buyer,0,60.0
rule_based,9,seller,1,101.33
rule_based,9,buyer,2,73.33
rule_based,9,seller,3,96.0
rule_based,9,buyer,4,86.67
rule_based,9,seller,5,90.67
rule_based,10,buyer,0,60.0
rule_based,10,seller,1,101.33
rule_based,10,buyer,2,73.33
rule_based,10,seller,3,96.0
rule_based,10,buyer,4,86.67
rule_based,10,seller,5,90.67
rule_based,11,buyer,0,60.0
rule_based,11,seller,1,101.33
rule_based,11,buyer,2,73.33
rule_based,11,seller,3,96.0
rule_based,11,buyer,4,86.67
rule_based,11,seller,5,90.67
rule_based,12,buyer,0,60.0
rule_based,12,seller,1,101.33
rule_based,12,buyer,2,73.33
rule_based,12,seller,3,96.0
rule_based,12,buyer,4,86.67
rule_based,12,seller,5,90.67
rule_based,13,buyer,0,60.0
rule_based,13,seller,1,101.33
rule_based,13,buyer,2,73.33
rule_based,13,seller,3,96.0
rule_based,13,buyer,4,86.67
rule_based,13,seller,5,90.67
rule_based,14,buyer,0,60.0
rule_based,14,seller,1,101.33
rule_based,14,buyer,2,73.33
rule_based,14,seller,3,96.0
rule_based,14,buyer,4,86.67
rule_based,14,seller,5,90.67
rule_based,15,buyer,0,60.0
rule_based,15,seller,1,101.33
rule_based,15,buyer,2,73.33
rule_based,15,seller,3,96.0
rule_based,15,buyer,4,86.67
rule_based,15,seller,5,90.67
rule_based,16,buyer,0,60.0
rule_based,16,seller,1,101.33
rule_based,16,buyer,2,73.33
rule_based,16,seller,3,96.0
rule_based,16,buyer,4,86.67
rule_based,16,seller,5,90.67
rule_based,17,buyer,0,60.0
rule_based,17,seller,1,101.33
rule_based,17,buyer,2,73.33
rule_based,17,seller,3,96.0
rule_based,17,buyer,4,86.67
rule_based,17,seller,5,90.67
rule_based,18,buyer,0,60.0
rule_based,18,seller,1,101.33
rule_based,18,buyer,2,73.33
rule_based,18,seller,3,96.0
rule_based,18,buyer,4,86.67
rule_based,18,seller,5,90.67
rule_based,19,buyer,0,60.0
rule_based,19,seller,1,101.33
rule_based,19,buyer,2,73.33
rule_based,19,seller,3,96.0
rule_based,19,buyer,4,86.67
rule_based,19,seller,5,90.67
rule_based,20,buyer,0,60.0
rule_based,20,seller,1,101.33
rule_based,20,buyer,2,73.33
rule_based,20,seller,3,96.0
rule_based,20,buyer,4,86.67
rule_based,20,seller,5,90.67
rule_based,21,buyer,0,60.0
rule_based,21,seller,1,101.33
rule_based,21,buyer,2,73.33
rule_based,21,seller,3,96.0
rule_based,21,buyer,4,86.67
rule_based,21,seller,5,90.67
rule_based,22,buyer,0,60.0
rule_based,22,seller,1,101.33
rule_based,22,buyer,2,73.33
rule_based,22,seller,3,96.0
rule_based,22,buyer,4,86.67
rule_based,22,seller,5,90.67
rule_based,23,buyer,0,60.0
rule_based,23,seller,1,101.33
rule_based,23,buyer,2,73.33
rule_based,23,seller,3,96.0
rule_based,23,buyer,4,86.67
rule_based,23,seller,5,90.67
rule_based,24,buyer,0,60.0
rule_based,24,seller,1,101.33
rule_based,24,buyer,2,73.33
rule_based,24,seller,3,96.0
rule_based,24,buyer,4,86.67
rule_based,24,seller,5,90.67
rule_based,25,buyer,0,60.0
rule_based,25,seller,1,101.33
rule_based,25,buyer,2,73.33
rule_based,25,seller,3,96.0
rule_based,25,buyer,4,86.67
rule_based,25,seller,5,90.67
rule_based,26,buyer,0,60.0
rule_based,26,seller,1,101.33
rule_based,26,buyer,2,73.33
rule_based,26,seller,3,96.0
rule_based,26,buyer,4,86.67
rule_based,26,seller,5,90.67
rule_based,27,buyer,0,60.0
rule_based,27,seller,1,101.33
rule_based,27,buyer,2,73.33
rule_based,27,seller,3,96.0
rule_based,27,buyer,4,86.67
rule_based,27,seller,5,90.67
rule_based,28,buyer,0,60.0
rule_based,28,seller,1,101.33
rule_based,28,buyer,2,73.33
rule_based,28,seller,3,96.0
rule_based,28,buyer,4,86.67
rule_based,28,seller,5,90.67
rule_based,29,buyer,0,60.0
rule_based,29,seller,1,101.33
rule_based,29,buyer,2,73.33
rule_based,29,seller,3,96.0
rule_based,29,buyer,4,86.67
rule_based,29,seller,5,90.67
rule_based,30,buyer,0,60.0
rule_based,30,seller,1,101.33
rule_based,30,buyer,2,73.33
rule_based,30,seller,3,96.0
rule_based,30,buyer,4,86.67
rule_based,30,seller,5,90.67
rule_based,31,buyer,0,60.0
rule_based,31,seller,1,101.33
rule_based,31,buyer,2,73.33
rule_based,31,seller,3,96.0
rule_based,31,buyer,4,86.67
rule_based,31,seller,5,90.67
