time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_001,Gadget B,buyer_t0_006,seller_t0_006,True,39.5,accepted,6,50.55,26.32,11.049999999999997,13.18
0,item_000,Widget A,buyer_t0_003,seller_t0_003,True,104.5,accepted,6,107.09,36.32,2.5900000000000034,68.18
0,item_001,Gadget B,buyer_t0_001,seller_t0_000,True,39.95,accepted,9,57.86,17.75,17.909999999999997,22.200000000000003
0,item_002,Doohickey C,buyer_t0_002,seller_t0_002,True,59.9,accepted,9,76.9,25.05,17.000000000000007,34.849999999999994
0,item_001,Gadget B,buyer_t0_005,seller_t0_008,True,39.15,accepted,9,51.01,29.11,11.86,10.04
0,item_004,Gizmo E,buyer_t0_007,seller_t0_004,True,91.5,accepted,10,106.15,56.54,14.650000000000006,34.96
0,item_002,Doohickey C,buyer_t0_000,seller_t0_007,True,59.9,accepted,10,81.77,36.57,21.869999999999997,23.33
0,item_004,Gizmo E,buyer_t0_009,seller_t0_005,True,86.5,accepted,6,146.89,82.72,60.389999999999986,3.780000000000001
0,item_000,Widget A,buyer_t0_008,seller_t0_001,True,81.0,accepted,6,127.77,41.5,46.769999999999996,39.5
0,item_002,Doohickey C,buyer_t0_004,seller_t0_009,True,62.5,accepted,4,63.73,23.24,1.2299999999999969,39.260000000000005
1,item_001,Gadget B,buyer_t1_009,seller_t1_001,True,39.75,accepted,5,44.59,21.63,4.840000000000003,18.12
1,item_003,Thingamajig D,buyer_t1_006,seller_t1_006,False,,rejected,1,53.65,37.66,0.0,0.0
1,item_000,Widget A,buyer_t1_002,seller_t1_002,True,91.5,accepted,9,113.41,33.95,21.909999999999997,57.55
1,item_001,Gadget B,buyer_t1_008,seller_t1_000,False,,timeout,10,47.54,24.2,0.0,0.0
1,item_004,Gizmo E,buyer_t1_000,seller_t1_009,False,,rejected,9,92.72,51.12,0.0,0.0
1,item_004,Gizmo E,buyer_t1_005,seller_t1_003,True,92.21,accepted,6,92.21,64.42,0.0,27.789999999999992
1,item_003,Thingamajig D,buyer_t1_003,seller_t1_008,True,59.25,accepted,6,70.73,32.07,11.480000000000004,27.18
1,item_000,Widget A,buyer_t1_004,seller_t1_005,True,83.75,accepted,9,129.72,74.92,45.97,8.829999999999998
1,item_001,Gadget B,buyer_t1_001,seller_t1_007,True,40.0,accepted,7,48.58,25.69,8.579999999999998,14.309999999999999
1,item_002,Doohickey C,buyer_t1_007,seller_t1_004,True,61.75,accepted,7,96.3,35.4,34.55,26.35
2,item_004,Gizmo E,buyer_t2_009,seller_t2_003,True,92.0,accepted,5,112.34,42.71,20.340000000000003,49.29
2,item_003,Thingamajig D,buyer_t2_002,seller_t2_005,False,,rejected,5,57.44,34.96,0.0,0.0
2,item_004,Gizmo E,buyer_t2_005,seller_t2_009,True,91.5,accepted,9,148.34,36.51,56.84,54.99
2,item_001,Gadget B,buyer_t2_000,seller_t2_000,True,39.95,accepted,9,47.69,27.76,7.739999999999995,12.190000000000001
2,item_002,Doohickey C,buyer_t2_008,seller_t2_001,True,59.5,accepted,6,88.6,46.23,29.099999999999994,13.270000000000003
2,item_003,Thingamajig D,buyer_t2_004,seller_t2_002,True,59.9,accepted,6,87.41,32.9,27.509999999999998,27.0
2,item_002,Doohickey C,buyer_t2_003,seller_t2_007,True,63.75,accepted,5,64.03,28.23,0.28000000000000114,35.519999999999996
2,item_004,Gizmo E,buyer_t2_007,seller_t2_006,True,91.25,accepted,9,133.47,37.96,42.22,53.29
2,item_004,Gizmo E,buyer_t2_001,seller_t2_008,True,89.0,accepted,6,125.87,50.52,36.870000000000005,38.48
2,item_001,Gadget B,buyer_t2_006,seller_t2_004,False,,rejected,3,36.73,16.85,0.0,0.0
3,item_000,Widget A,buyer_t3_005,seller_t3_003,False,,timeout,10,86.16,32.93,0.0,0.0
3,item_000,Widget A,buyer_t3_001,seller_t3_000,True,91.5,accepted,9,121.48,47.48,29.980000000000004,44.02
3,item_001,Gadget B,buyer_t3_003,seller_t3_005,True,39.5,accepted,6,45.3,17.19,5.799999999999997,22.31
3,item_000,Widget A,buyer_t3_007,seller_t3_004,False,,timeout,10,126.86,43.65,0.0,0.0
3,item_000,Widget A,buyer_t3_008,seller_t3_007,True,85.0,accepted,4,140.36,62.6,55.360000000000014,22.4
3,item_002,Doohickey C,buyer_t3_004,seller_t3_001,True,60.0,accepted,5,79.49,45.57,19.489999999999995,14.43
3,item_004,Gizmo E,buyer_t3_009,seller_t3_002,True,89.5,accepted,4,99.21,53.09,9.709999999999994,36.41
3,item_002,Doohickey C,buyer_t3_000,seller_t3_008,True,59.9,accepted,10,81.58,40.07,21.68,19.83
3,item_001,Gadget B,buyer_t3_002,seller_t3_006,True,40.0,accepted,5,59.01,14.11,19.009999999999998,25.89
3,item_003,Thingamajig D,buyer_t3_006,seller_t3_009,True,60.75,accepted,5,67.98,37.04,7.230000000000004,23.71
4,item_000,Widget A,buyer_t4_006,seller_t4_004,True,86.5,accepted,6,117.67,72.82,31.17,13.680000000000007
4,item_002,Doohickey C,buyer_t4_002,seller_t4_003,False,,timeout,10,77.45,30.39,0.0,0.0
4,item_002,Doohickey C,buyer_t4_003,seller_t4_009,True,60.0,accepted,5,87.48,22.87,27.480000000000004,37.129999999999995
4,item_001,Gadget B,buyer_t4_009,seller_t4_007,True,41.5,accepted,5,44.67,18.59,3.1700000000000017,22.91
4,item_002,Doohickey C,buyer_t4_008,seller_t4_005,True,61.75,accepted,9,84.19,39.48,22.439999999999998,22.270000000000003
4,item_003,Thingamajig D,buyer_t4_001,seller_t4_006,True,59.9,accepted,6,88.24,34.35,28.339999999999996,25.549999999999997
4,item_002,Doohickey C,buyer_t4_005,seller_t4_008,True,62.75,accepted,5,68.49,36.9,5.739999999999995,25.85
4,item_000,Widget A,buyer_t4_000,seller_t4_001,True,91.75,accepted,7,132.12,46.54,40.370000000000005,45.21
4,item_000,Widget A,buyer_t4_007,seller_t4_002,True,91.25,accepted,10,144.82,33.66,53.56999999999999,57.59
4,item_001,Gadget B,buyer_t4_004,seller_t4_000,True,39.75,accepted,7,54.22,14.29,14.469999999999999,25.46
5,item_003,Thingamajig D,buyer_t5_001,seller_t5_009,False,,rejected,1,53.91,47.28,0.0,0.0
5,item_003,Thingamajig D,buyer_t5_008,seller_t5_005,True,58.09,accepted,10,58.09,24.81,0.0,33.28
5,item_002,Doohickey C,buyer_t5_007,seller_t5_001,False,,timeout,10,82.58,34.41,0.0,0.0
5,item_003,Thingamajig D,buyer_t5_006,seller_t5_007,True,59.0,accepted,6,69.79,50.23,10.790000000000006,8.770000000000003
5,item_002,Doohickey C,buyer_t5_002,seller_t5_006,True,61.6,accepted,10,88.75,44.09,27.15,17.509999999999998
5,item_002,Doohickey C,buyer_t5_003,seller_t5_002,True,59.9,accepted,8,75.39,49.73,15.490000000000002,10.170000000000002
5,item_002,Doohickey C,buyer_t5_000,seller_t5_004,True,62.5,accepted,5,62.59,22.51,0.09000000000000341,39.989999999999995
5,item_003,Thingamajig D,buyer_t5_009,seller_t5_003,True,57.0,accepted,8,87.12,40.7,30.120000000000005,16.299999999999997
5,item_003,Thingamajig D,buyer_t5_005,seller_t5_000,False,,rejected,5,53.16,37.27,0.0,0.0
5,item_001,Gadget B,buyer_t5_004,seller_t5_008,True,39.0,accepted,5,58.49,25.05,19.490000000000002,13.95
6,item_002,Doohickey C,buyer_t6_005,seller_t6_003,True,58.4,accepted,6,58.41,32.09,0.00999999999999801,26.309999999999995
6,item_000,Widget A,buyer_t6_002,seller_t6_005,True,91.25,accepted,10,125.62,45.76,34.370000000000005,45.49
6,item_001,Gadget B,buyer_t6_008,seller_t6_000,True,39.0,accepted,5,39.06,31.96,0.060000000000002274,7.039999999999999
6,item_003,Thingamajig D,buyer_t6_007,seller_t6_009,True,57.85,accepted,9,77.3,47.34,19.449999999999996,10.509999999999998
6,item_000,Widget A,buyer_t6_006,seller_t6_001,False,,timeout,10,106.35,82.81,0.0,0.0
6,item_004,Gizmo E,buyer_t6_000,seller_t6_004,True,93.8,accepted,10,109.99,62.71,16.189999999999998,31.089999999999996
6,item_002,Doohickey C,buyer_t6_003,seller_t6_007,False,,rejected,3,57.53,43.32,0.0,0.0
6,item_000,Widget A,buyer_t6_009,seller_t6_008,True,89.16,accepted,10,89.16,70.38,0.0,18.78
6,item_000,Widget A,buyer_t6_001,seller_t6_002,True,91.5,accepted,9,104.88,71.35,13.379999999999995,20.150000000000006
6,item_000,Widget A,buyer_t6_004,seller_t6_006,True,91.5,accepted,6,139.0,55.43,47.5,36.07
7,item_002,Doohickey C,buyer_t7_004,seller_t7_008,True,62.0,accepted,6,62.27,42.77,0.2700000000000031,19.229999999999997
7,item_000,Widget A,buyer_t7_001,seller_t7_002,True,84.5,accepted,9,128.98,57.45,44.47999999999999,27.049999999999997
7,item_003,Thingamajig D,buyer_t7_007,seller_t7_005,True,53.5,accepted,6,84.46,35.06,30.959999999999994,18.439999999999998
7,item_000,Widget A,buyer_t7_000,seller_t7_000,False,,rejected,3,83.19,41.76,0.0,0.0
7,item_002,Doohickey C,buyer_t7_002,seller_t7_001,True,58.5,accepted,6,71.55,46.19,13.049999999999997,12.310000000000002
7,item_003,Thingamajig D,buyer_t7_009,seller_t7_007,True,54.0,accepted,9,69.83,50.62,15.829999999999998,3.3800000000000026
7,item_002,Doohickey C,buyer_t7_003,seller_t7_009,True,59.15,accepted,9,73.37,39.68,14.220000000000006,19.47
7,item_000,Widget A,buyer_t7_008,seller_t7_004,False,,rejected,7,86.99,30.14,0.0,0.0
7,item_000,Widget A,buyer_t7_005,seller_t7_003,True,92.5,accepted,9,144.58,65.0,52.08000000000001,27.5
7,item_003,Thingamajig D,buyer_t7_006,seller_t7_006,True,58.75,accepted,6,74.38,49.81,15.629999999999995,8.939999999999998
8,item_004,Gizmo E,buyer_t8_006,seller_t8_007,True,92.0,accepted,6,93.07,79.25,1.0699999999999932,12.75
8,item_001,Gadget B,buyer_t8_009,seller_t8_000,True,39.0,accepted,5,50.4,33.91,11.399999999999999,5.090000000000003
8,item_004,Gizmo E,buyer_t8_007,seller_t8_003,True,91.5,accepted,9,125.87,49.31,34.370000000000005,42.19
8,item_001,Gadget B,buyer_t8_002,seller_t8_006,True,39.5,accepted,6,59.55,26.12,20.049999999999997,13.379999999999999
