time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_001,Gadget B,buyer_t0_000,seller_t0_006,True,89.75,accepted,10,130.04,85.53,40.28999999999999,4.219999999999999
0,item_000,Widget A,buyer_t0_003,seller_t0_003,True,140.0,accepted,5,164.72,83.72,24.72,56.28
0,item_001,Gadget B,buyer_t0_007,seller_t0_000,True,90.0,accepted,5,92.09,77.92,2.0900000000000034,12.079999999999998
0,item_002,Doohickey C,buyer_t0_002,seller_t0_002,False,,rejected,5,113.37,75.7,0.0,0.0
0,item_001,Gadget B,buyer_t0_006,seller_t0_008,True,92.5,accepted,6,95.83,46.24,3.3299999999999983,46.26
0,item_004,Gizmo E,buyer_t0_005,seller_t0_004,True,141.5,accepted,10,166.95,76.03,25.44999999999999,65.47
0,item_002,Doohickey C,buyer_t0_009,seller_t0_007,True,106.75,accepted,9,137.8,87.17,31.05000000000001,19.58
0,item_004,Gizmo E,buyer_t0_001,seller_t0_005,True,145.39,accepted,4,145.39,65.99,0.0,79.39999999999999
0,item_000,Widget A,buyer_t0_004,seller_t0_001,True,143.75,accepted,10,159.16,71.31,15.409999999999997,72.44
0,item_002,Doohickey C,buyer_t0_008,seller_t0_009,True,116.0,accepted,4,117.57,43.56,1.5699999999999932,72.44
1,item_004,Gizmo E,buyer_t1_007,seller_t1_004,True,132.0,accepted,6,157.68,63.43,25.680000000000007,68.57
1,item_004,Gizmo E,buyer_t1_003,seller_t1_002,True,123.78,accepted,10,123.78,69.01,0.0,54.769999999999996
1,item_003,Thingamajig D,buyer_t1_008,seller_t1_007,False,,timeout,10,130.17,89.96,0.0,0.0
1,item_000,Widget A,buyer_t1_002,seller_t1_003,True,124.95,accepted,10,140.11,60.23,15.16000000000001,64.72
1,item_001,Gadget B,buyer_t1_009,seller_t1_008,True,90.0,accepted,6,92.27,70.23,2.269999999999996,19.769999999999996
1,item_002,Doohickey C,buyer_t1_000,seller_t1_001,True,99.0,accepted,10,99.78,52.95,0.7800000000000011,46.05
1,item_003,Thingamajig D,buyer_t1_005,seller_t1_009,True,101.75,accepted,9,130.07,49.36,28.319999999999993,52.39
1,item_002,Doohickey C,buyer_t1_006,seller_t1_000,True,91.5,accepted,6,162.53,49.81,71.03,41.69
1,item_002,Doohickey C,buyer_t1_004,seller_t1_006,False,,rejected,9,93.15,79.41,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_001,seller_t1_005,True,101.75,accepted,9,143.71,71.43,41.96000000000001,30.319999999999993
2,item_002,Doohickey C,buyer_t2_006,seller_t2_007,True,84.9,accepted,10,98.6,65.65,13.699999999999989,19.25
