anchor_mode,condition,seed,tick,mean_price,price_std,liquidity,buyer_surplus_mean,seller_surplus_mean
updated,no_shock,42,0,97.49,10.58,0.7,31.49,27.18
updated,no_shock,42,1,92.7,15.76,0.8,36.85,30.9
updated,no_shock,42,2,78.19,7.96,0.8,42.49,13.07
updated,no_shock,42,3,83.08,18.93,0.9,39.05,22.3
updated,no_shock,42,4,78.06,14.83,0.4,71.44,23.48
updated,no_shock,42,5,66.17,5.23,0.8,52.86,4.12
updated,no_shock,42,6,81.32,12.54,0.5,33.89,14.82
updated,no_shock,42,7,72.91,13.81,1.0,52.85,8.7
updated,no_shock,42,8,66.63,10.88,0.7,72.62,4.46
updated,no_shock,42,9,79.4,22.91,0.7,64.21,21.36
updated,no_shock,123,0,109.78,25.36,0.8,20.19,52.14
updated,no_shock,123,1,95.1,10.91,0.8,25.42,26.29
updated,no_shock,123,2,79.14,6.58,1.0,43.13,23.23
updated,no_shock,123,3,76.95,11.6,0.8,55.25,8.76
updated,no_shock,123,4,76.52,10.8,0.8,56.71,8.39
updated,no_shock,123,5,66.26,7.74,0.7,91.34,9.97
updated,no_shock,123,6,62.2,6.09,0.7,73.28,3.32
updated,no_shock,123,7,57.75,1.77,0.2,87.39,9.6
updated,no_shock,123,8,56.02,6.3,0.8,68.37,5.36
updated,no_shock,123,9,61.48,4.82,0.4,56.55,4.56
updated,no_shock,456,0,114.96,17.88,0.9,11.83,47.21
updated,no_shock,456,1,101.19,13.12,1.0,23.9,29.49
updated,no_shock,456,2,81.57,7.16,0.8,56.25,17.73
updated,no_shock,456,3,89.47,17.98,0.8,48.23,22.19
updated,no_shock,456,4,73.83,13.22,0.6,67.84,21.63
updated,no_shock,456,5,72.4,13.71,0.9,58.49,7.1
updated,no_shock,456,6,74.05,10.67,0.5,75.29,12.39
updated,no_shock,456,7,80.44,3.62,0.4,42.12,4.63
updated,no_shock,456,8,71.66,13.42,0.6,43.87,9.29
updated,no_shock,456,9,68.48,7.82,0.6,56.1,9.75
updated,with_shock,42,0,118.4,24.52,0.9,15.99,47.57
updated,with_shock,42,1,108.09,16.33,0.8,23.15,47.28
updated,with_shock,42,2,91.39,11.63,0.8,34.42,23.74
updated,with_shock,42,3,91.07,9.71,0.8,34.18,27.95
updated,with_shock,42,4,81.82,10.65,0.8,52.74,21.83
updated,with_shock,42,5,80.5,9.84,0.3,32.62,4.5
updated,with_shock,42,6,79.58,9.27,1.0,39.22,11.77
updated,with_shock,42,7,72.86,10.51,0.8,52.45,13.67
updated,with_shock,42,8,67.98,8.25,0.8,66.48,6.38
updated,with_shock,42,9,66.0,8.03,0.6,65.63,8.27
updated,with_shock,123,0,106.34,30.25,0.6,22.82,52.16
updated,with_shock,123,1,91.12,14.43,0.9,22.65,20.92
updated,with_shock,123,2,81.66,11.88,1.0,40.61,25.74
updated,with_shock,123,3,78.16,10.58,0.8,54.04,9.96
updated,with_shock,123,4,75.21,9.95,0.8,54.27,16.48
updated,with_shock,123,5,72.42,7.82,0.6,86.65,12.01
updated,with_shock,123,6,63.8,9.3,0.6,59.71,7.01
updated,with_shock,123,7,71.6,13.7,0.5,51.55,4.92
updated,with_shock,123,8,66.92,10.76,0.6,69.57,17.05
updated,with_shock,123,9,59.0,9.0,0.3,79.39,1.64
updated,with_shock,456,0,107.58,8.49,0.7,15.07,43.9
updated,with_shock,456,1,105.72,25.93,0.9,22.57,31.6
updated,with_shock,456,2,87.83,19.41,1.0,50.13,24.12
updated,with_shock,456,3,92.82,13.44,0.5,66.13,17.89
updated,with_shock,456,4,83.56,18.49,0.8,83.36,35.27
updated,with_shock,456,5,91.7,17.52,0.7,33.55,22.17
updated,with_shock,456,6,79.28,12.62,0.7,62.07,14.91
updated,with_shock,456,7,75.41,15.19,0.9,48.59,16.83
updated,with_shock,456,8,70.3,16.67,0.5,48.4,15.35
updated,with_shock,456,9,71.68,11.63,0.5,61.57,8.63
no_anchor,no_shock,42,0,111.17,23.33,0.9,20.51,39.26
no_anchor,no_shock,42,1,103.13,26.95,0.9,22.38,40.25
no_anchor,no_shock,42,2,89.83,7.78,0.9,30.72,22.08
no_anchor,no_shock,42,3,91.44,25.84,0.9,25.5,33.3
no_anchor,no_shock,42,4,98.74,16.78,0.9,36.25,34.76
no_anchor,no_shock,42,5,95.14,21.75,0.8,30.39,31.88
no_anchor,no_shock,42,6,94.55,19.89,0.9,23.26,24.75
no_anchor,no_shock,42,7,96.32,22.47,0.9,32.22,30.58
no_anchor,no_shock,42,8,98.03,20.55,0.9,40.98,33.32
no_anchor,no_shock,42,9,107.66,20.55,1.0,30.45,45.73
no_anchor,no_shock,123,0,104.14,24.55,0.8,26.36,45.32
no_anchor,no_shock,123,1,91.58,13.93,1.0,27.28,23.24
no_anchor,no_shock,123,2,95.16,20.23,0.9,29.72,40.62
no_anchor,no_shock,123,3,98.08,13.87,0.9,33.43,27.68
no_anchor,no_shock,123,4,97.16,21.79,0.8,35.08,35.13
no_anchor,no_shock,123,5,122.77,25.55,0.6,34.79,57.89
no_anchor,no_shock,123,6,105.77,23.02,1.0,27.36,43.1
no_anchor,no_shock,123,7,100.73,13.94,0.8,31.05,26.79
no_anchor,no_shock,123,8,88.91,27.18,0.7,32.6,32.89
no_anchor,no_shock,123,9,97.0,20.12,1.0,27.42,25.46
no_anchor,no_shock,456,0,97.09,21.29,0.8,27.09,25.15
no_anchor,no_shock,456,1,97.61,18.75,0.8,21.88,22.91
no_anchor,no_shock,456,2,86.67,13.32,0.9,50.29,22.62
no_anchor,no_shock,456,3,115.42,18.35,0.9,28.57,48.01
no_anchor,no_shock,456,4,103.04,31.69,0.9,28.15,42.39
no_anchor,no_shock,456,5,92.86,12.89,0.6,36.0,24.78
no_anchor,no_shock,456,6,105.33,25.64,0.9,29.7,38.18
no_anchor,no_shock,456,7,100.32,20.63,0.9,32.69,27.85
no_anchor,no_shock,456,8,95.12,17.04,0.9,27.06,26.75
no_anchor,no_shock,456,9,95.66,27.28,0.9,39.93,32.77
no_anchor,with_shock,42,0,98.88,18.04,1.0,33.41,27.57
no_anchor,with_shock,42,1,95.07,15.89,1.0,32.26,29.49
no_anchor,with_shock,42,2,91.61,6.79,0.8,34.2,23.95
no_anchor,with_shock,42,3,88.76,14.29,0.9,27.53,27.91
no_anchor,with_shock,42,4,101.55,19.97,1.0,35.43,39.62
no_anchor,with_shock,42,5,89.66,6.35,0.4,27.73,10.41
no_anchor,with_shock,42,6,94.74,21.51,0.9,25.18,29.28
no_anchor,with_shock,42,7,95.29,21.55,0.9,32.76,28.99
no_anchor,with_shock,42,8,97.58,14.29,1.0,41.74,31.47
no_anchor,with_shock,42,9,103.94,22.54,0.9,33.81,40.77
no_anchor,with_shock,123,0,103.53,20.16,0.8,33.66,42.1
no_anchor,with_shock,123,1,88.17,13.58,1.0,30.7,19.82
no_anchor,with_shock,123,2,97.27,18.87,1.0,25.01,41.35
no_anchor,with_shock,123,3,107.83,23.88,1.0,25.37,38.22
no_anchor,with_shock,123,4,94.58,11.63,0.9,33.17,34.06
no_anchor,with_shock,123,5,117.47,21.27,1.0,40.04,53.4
no_anchor,with_shock,123,6,98.29,22.27,0.9,32.32,36.45
no_anchor,with_shock,123,7,100.11,17.22,1.0,28.18,25.66
no_anchor,with_shock,123,8,91.17,11.03,1.0,33.36,35.87
no_anchor,with_shock,123,9,97.59,16.52,0.9,23.42,27.29
no_anchor,with_shock,456,0,97.12,24.93,0.8,27.59,31.4
no_anchor,with_shock,456,1,96.53,17.28,0.9,27.8,24.16
no_anchor,with_shock,456,2,95.78,22.88,1.0,42.18,32.06
no_anchor,with_shock,456,3,128.16,23.7,1.0,33.02,53.52
no_anchor,with_shock,456,4,116.43,18.58,0.9,43.07,70.02
no_anchor,with_shock,456,5,98.71,24.77,1.0,28.45,33.47
no_anchor,with_shock,456,6,108.33,27.95,0.9,25.28,39.53
no_anchor,with_shock,456,7,92.63,8.33,1.0,27.97,33.2
no_anchor,with_shock,456,8,88.78,13.44,0.8,32.47,25.46
no_anchor,with_shock,456,9,94.8,18.08,1.0,44.34,22.63
