time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_001,Gadget B,buyer_t0_005,seller_t0_000,False,,rejected,7,143.36,82.9,0.0,0.0
0,item_003,Thingamajig D,buyer_t0_000,seller_t0_002,False,,rejected,7,111.74,57.62,0.0,0.0
0,item_002,Doohickey C,buyer_t0_001,seller_t0_004,True,98.0,accepted,6,100.0,83.28,2.0,14.719999999999999
0,item_001,Gadget B,buyer_t0_007,seller_t0_008,True,94.0,accepted,6,94.31,55.96,0.3100000000000023,38.04
0,item_003,Thingamajig D,buyer_t0_003,seller_t0_006,False,,rejected,3,113.53,40.99,0.0,0.0
0,item_003,Thingamajig D,buyer_t0_008,seller_t0_005,False,,rejected,7,107.27,89.07,0.0,0.0
0,item_004,Gizmo E,buyer_t0_006,seller_t0_001,False,,timeout,10,139.15,74.85,0.0,0.0
0,item_004,Gizmo E,buyer_t0_009,seller_t0_009,False,,rejected,7,115.9,80.06,0.0,0.0
0,item_002,Doohickey C,buyer_t0_004,seller_t0_007,False,,timeout,10,162.45,66.71,0.0,0.0
0,item_002,Doohickey C,buyer_t0_002,seller_t0_003,True,117.75,accepted,10,169.24,58.29,51.49000000000001,59.46
1,item_002,Doohickey C,buyer_t1_008,seller_t1_009,True,92.5,accepted,6,95.21,86.17,2.7099999999999937,6.329999999999998
1,item_000,Widget A,buyer_t1_002,seller_t1_002,True,99.0,accepted,6,100.03,87.65,1.0300000000000011,11.349999999999994
1,item_001,Gadget B,buyer_t1_004,seller_t1_008,False,,rejected,7,155.96,67.78,0.0,0.0
1,item_002,Doohickey C,buyer_t1_009,seller_t1_005,True,125.5,accepted,4,126.12,61.43,0.6200000000000045,64.07
1,item_001,Gadget B,buyer_t1_001,seller_t1_001,False,,rejected,3,141.29,80.85,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_005,seller_t1_000,True,120.0,accepted,6,123.96,85.64,3.9599999999999937,34.36
1,item_004,Gizmo E,buyer_t1_003,seller_t1_006,False,,rejected,7,141.0,49.95,0.0,0.0
1,item_004,Gizmo E,buyer_t1_007,seller_t1_003,True,132.0,accepted,7,132.0,65.74,0.0,66.26
1,item_001,Gadget B,buyer_t1_000,seller_t1_007,False,,rejected,5,139.05,51.62,0.0,0.0
1,item_001,Gadget B,buyer_t1_006,seller_t1_004,True,96.0,accepted,7,96.35,80.18,0.3499999999999943,15.819999999999993
2,item_003,Thingamajig D,buyer_t2_002,seller_t2_001,True,120.0,accepted,8,163.48,72.56,43.47999999999999,47.44
2,item_002,Doohickey C,buyer_t2_009,seller_t2_009,True,110.0,accepted,6,110.05,42.44,0.04999999999999716,67.56
2,item_003,Thingamajig D,buyer_t2_001,seller_t2_003,False,,rejected,7,146.96,60.64,0.0,0.0
