condition,seed,tick,mean_price,price_std,liquidity
no_shock,42,0,102.83,20.68,0.6
no_shock,42,1,103.94,15.09,0.9
no_shock,42,2,108.06,13.88,0.9
no_shock,42,3,111.41,26.59,0.8
no_shock,42,4,107.4,12.55,0.7
no_shock,42,5,103.71,10.89,0.7
no_shock,42,6,105.44,20.13,0.9
no_shock,42,7,117.51,21.91,0.7
no_shock,42,8,114.4,21.64,0.8
no_shock,42,9,112.51,20.63,0.9
no_shock,123,0,113.54,30.4,0.8
no_shock,123,1,100.67,12.91,0.6
no_shock,123,2,90.25,2.81,0.8
no_shock,123,3,88.58,1.52,0.6
no_shock,123,4,102.36,19.27,0.7
no_shock,123,5,97.12,12.36,0.8
no_shock,123,6,92.92,7.32,0.6
no_shock,123,7,99.35,24.08,0.7
no_shock,123,8,100.92,16.09,0.6
no_shock,123,9,97.82,15.99,0.8
no_shock,456,0,103.25,12.72,0.3
no_shock,456,1,110.83,16.99,0.6
no_shock,456,2,110.7,8.28,0.4
no_shock,456,3,141.06,18.15,0.5
no_shock,456,4,123.29,17.29,0.6
no_shock,456,5,124.47,26.35,0.7
no_shock,456,6,128.88,24.4,0.7
no_shock,456,7,120.49,23.81,0.7
no_shock,456,8,120.65,11.88,0.5
no_shock,456,9,123.18,15.11,0.7
with_shock,42,0,116.66,24.16,0.9
with_shock,42,1,106.57,21.99,0.7
with_shock,42,2,103.99,12.92,0.9
with_shock,42,3,118.67,27.97,0.8
with_shock,42,4,112.58,13.72,0.6
with_shock,42,5,93.83,4.46,0.6
with_shock,42,6,109.95,18.65,0.8
with_shock,42,7,103.75,13.08,0.7
with_shock,42,8,120.01,21.74,0.9
with_shock,42,9,109.85,24.67,0.4
with_shock,123,0,103.72,28.4,0.7
with_shock,123,1,98.67,15.87,1.0
with_shock,123,2,91.46,2.41,0.4
with_shock,123,3,89.56,4.52,0.7
with_shock,123,4,108.21,20.26,0.6
with_shock,123,5,101.13,17.24,0.7
with_shock,123,6,89.14,4.88,0.9
with_shock,123,7,93.72,10.21,0.8
with_shock,123,8,99.57,14.24,0.7
with_shock,123,9,89.05,4.04,0.9
with_shock,456,0,109.1,12.29,0.5
with_shock,456,1,118.34,19.05,0.8
with_shock,456,2,124.49,15.77,0.7
with_shock,456,3,143.25,13.41,0.7
with_shock,456,4,126.34,9.91,0.8
with_shock,456,5,123.05,26.6,0.7
with_shock,456,6,125.46,30.92,0.6
with_shock,456,7,115.21,27.45,0.7
with_shock,456,8,119.14,19.65,0.7
with_shock,456,9,122.02,15.97,0.8
