condition,seed,tick,num_sessions,deals_made,liquidity,mean_price,price_std,buyer_surplus_mean,seller_surplus_mean
random,42,0,8,8,1.0,80.09,16.85,21.71,17.98
random,42,1,8,5,0.625,71.24,14.88,26.29,23.19
random,42,2,8,7,0.875,72.26,19.19,12.97,28.23
random,42,3,8,6,0.75,66.94,20.0,18.78,24.02
random,42,4,8,6,0.75,83.3,12.27,26.57,26.59
random,42,5,8,5,0.625,65.79,13.52,15.51,20.13
random,42,6,8,6,0.75,52.84,10.81,16.89,19.04
random,42,7,8,8,1.0,52.88,9.02,16.63,24.58
random,123,0,8,7,0.875,51.91,26.41,22.98,14.94
random,123,1,8,7,0.875,62.51,27.33,24.04,22.86
random,123,2,8,6,0.75,60.65,27.77,19.62,24.49
random,123,3,8,7,0.875,73.59,33.15,27.18,22.95
random,123,4,8,8,1.0,66.26,27.49,16.5,22.21
random,123,5,8,6,0.75,48.24,11.88,14.9,17.37
random,123,6,8,7,0.875,54.21,24.52,24.39,21.12
random,123,7,8,8,1.0,52.9,13.15,16.54,21.95
random,456,0,8,7,0.875,86.41,18.69,27.72,21.98
random,456,1,8,8,1.0,87.69,15.76,52.82,28.9
random,456,2,8,8,1.0,81.95,14.64,37.31,23.9
random,456,3,8,8,1.0,92.09,11.36,27.55,24.64
random,456,4,8,6,0.75,89.08,14.48,43.51,36.87
random,456,5,8,6,0.75,81.35,15.18,26.47,30.32
random,456,6,8,7,0.875,85.55,17.54,25.95,21.97
random,456,7,8,6,0.75,79.31,14.1,49.71,34.79
surplus_max,42,0,5,5,1.0,69.71,17.07,16.37,24.91
surplus_max,42,1,6,6,1.0,71.17,21.42,29.03,19.18
surplus_max,42,2,6,4,0.6667,83.54,19.17,22.6,33.71
surplus_max,42,3,6,5,0.8333,79.77,20.12,25.53,29.09
surplus_max,42,4,7,6,0.8571,71.8,21.87,37.0,33.43
surplus_max,42,5,6,5,0.8333,63.25,24.02,17.52,23.52
surplus_max,42,6,6,6,1.0,72.08,25.58,27.94,21.19
surplus_max,42,7,6,5,0.8333,69.08,22.82,12.95,29.01
surplus_max,123,0,7,5,0.7143,55.44,18.82,12.63,14.35
surplus_max,123,1,4,3,0.75,53.58,19.35,9.05,23.34
surplus_max,123,2,6,6,1.0,55.64,20.19,20.35,18.7
surplus_max,123,3,6,5,0.8333,60.6,24.4,30.05,15.68
surplus_max,123,4,6,4,0.6667,54.77,13.26,13.26,19.69
surplus_max,123,5,8,5,0.625,44.33,4.01,11.74,20.65
surplus_max,123,6,7,7,1.0,53.7,24.8,18.61,25.42
surplus_max,123,7,5,2,0.4,39.0,0.71,13.17,12.86
surplus_max,456,0,5,3,0.6,83.17,3.51,44.32,25.81
surplus_max,456,1,6,4,0.6667,105.0,11.13,46.67,31.46
surplus_max,456,2,7,7,1.0,81.8,6.27,25.94,33.98
surplus_max,456,3,6,6,1.0,86.79,20.82,31.06,36.63
surplus_max,456,4,5,4,0.8,97.49,24.17,29.68,48.09
surplus_max,456,5,5,4,0.8,81.84,8.29,39.96,25.8
surplus_max,456,6,6,6,1.0,97.83,7.29,53.56,22.27
surplus_max,456,7,6,5,0.8333,93.55,8.25,49.73,45.59
