time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_002,Doohickey C,buyer_t0_005,seller_t0_003,True,66.5,accepted,8,102.59,66.5,36.09,0.0
0,item_001,Gadget B,buyer_t0_003,seller_t0_004,True,111.0,accepted,6,124.74,104.24,13.739999999999995,6.760000000000005
0,item_004,Gizmo E,buyer_t0_001,seller_t0_001,True,91.5,accepted,10,107.62,36.37,16.120000000000005,55.13
0,item_003,Thingamajig D,buyer_t0_004,seller_t0_006,True,105.5,accepted,4,107.48,55.56,1.980000000000004,49.94
0,item_004,Gizmo E,buyer_t0_002,seller_t0_000,True,86.5,accepted,6,112.8,73.26,26.299999999999997,13.239999999999995
0,item_004,Gizmo E,buyer_t0_007,seller_t0_002,True,83.9,accepted,10,128.93,61.05,45.03,22.85000000000001
0,item_002,Doohickey C,buyer_t0_006,seller_t0_005,True,60.0,accepted,5,114.77,54.04,54.769999999999996,5.960000000000001
0,item_003,Thingamajig D,buyer_t0_000,seller_t0_007,False,,timeout,10,136.58,61.55,0.0,0.0
1,item_000,Widget A,buyer_t1_002,seller_t1_000,True,107.5,accepted,6,107.7,58.66,0.20000000000000284,48.84
1,item_003,Thingamajig D,buyer_t1_007,seller_t1_001,True,85.0,accepted,6,163.77,42.94,78.77000000000001,42.06
1,item_003,Thingamajig D,buyer_t1_004,seller_t1_003,True,95.0,accepted,4,152.33,94.07,57.33000000000001,0.9300000000000068
1,item_001,Gadget B,buyer_t1_005,seller_t1_002,True,100.0,accepted,5,189.28,56.83,89.28,43.17
1,item_003,Thingamajig D,buyer_t1_006,seller_t1_004,True,98.0,accepted,6,136.38,67.17,38.379999999999995,30.83
1,item_002,Doohickey C,buyer_t1_001,seller_t1_007,True,61.25,accepted,6,110.16,28.65,48.91,32.6
1,item_003,Thingamajig D,buyer_t1_000,seller_t1_005,True,85.0,accepted,6,166.77,56.5,81.77000000000001,28.5
1,item_002,Doohickey C,buyer_t1_003,seller_t1_006,True,69.75,accepted,10,97.65,65.46,27.900000000000006,4.290000000000006
