time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_004,Gizmo E,buyer_t0_001,seller_t0_006,True,145.0,accepted,5,145.39,96.03,0.38999999999998636,48.97
0,item_002,Doohickey C,buyer_t0_005,seller_t0_002,True,98.0,accepted,6,166.95,97.92,68.94999999999999,0.0799999999999983
0,item_000,Widget A,buyer_t0_004,seller_t0_001,True,144.75,accepted,9,159.16,89.88,14.409999999999997,54.870000000000005
0,item_004,Gizmo E,buyer_t0_007,seller_t0_003,True,91.85,accepted,10,92.09,91.31,0.2400000000000091,0.539999999999992
0,item_004,Gizmo E,buyer_t0_003,seller_t0_005,True,140.0,accepted,9,164.72,103.72,24.72,36.28
0,item_004,Gizmo E,buyer_t0_006,seller_t0_004,False,,rejected,3,95.83,95.7,0.0,0.0
0,item_002,Doohickey C,buyer_t0_002,seller_t0_000,False,,rejected,7,113.37,77.23,0.0,0.0
0,item_002,Doohickey C,buyer_t0_000,seller_t0_007,True,98.6,accepted,9,130.04,85.99,31.439999999999998,12.61
1,item_004,Gizmo E,buyer_t1_001,seller_t1_006,True,128.5,accepted,6,143.71,83.43,15.210000000000008,45.06999999999999
1,item_002,Doohickey C,buyer_t1_006,seller_t1_005,True,106.0,accepted,8,162.53,80.23,56.53,25.769999999999996
1,item_003,Thingamajig D,buyer_t1_005,seller_t1_004,True,99.0,accepted,5,130.07,89.01,31.069999999999993,9.989999999999995
1,item_000,Widget A,buyer_t1_007,seller_t1_003,True,157.5,accepted,10,157.68,72.95,0.18000000000000682,84.55
1,item_001,Gadget B,buyer_t1_003,seller_t1_007,False,,timeout,10,123.78,91.43,0.0,0.0
1,item_002,Doohickey C,buyer_t1_004,seller_t1_000,True,93.0,accepted,10,93.15,85.11,0.15000000000000568,7.890000000000001
1,item_002,Doohickey C,buyer_t1_000,seller_t1_001,True,99.75,accepted,9,99.78,61.42,0.030000000000001137,38.33
1,item_003,Thingamajig D,buyer_t1_002,seller_t1_002,True,100.0,accepted,9,140.11,69.81,40.110000000000014,30.189999999999998
2,item_003,Thingamajig D,buyer_t2_007,seller_t2_001,False,,rejected,2,119.55,104.13,0.0,0.0
2,item_000,Widget A,buyer_t2_005,seller_t2_003,False,,rejected,6,103.77,96.53,0.0,0.0
2,item_003,Thingamajig D,buyer_t2_002,seller_t2_006,True,115.0,accepted,6,115.48,87.94,0.480000000000004,27.060000000000002
2,item_003,Thingamajig D,buyer_t2_003,seller_t2_000,True,101.5,accepted,10,157.56,79.13,56.06,22.370000000000005
2,item_004,Gizmo E,buyer_t2_006,seller_t2_004,False,,rejected,2,98.6,93.74,0.0,0.0
2,item_001,Gadget B,buyer_t2_001,seller_t2_005,True,86.5,accepted,6,120.71,65.38,34.209999999999994,21.120000000000005
2,item_000,Widget A,buyer_t2_000,seller_t2_007,True,121.28,accepted,10,121.28,79.38,0.0,41.900000000000006
2,item_003,Thingamajig D,buyer_t2_004,seller_t2_002,True,97.5,accepted,6,124.39,73.96,26.89,23.540000000000006
3,item_003,Thingamajig D,buyer_t3_003,seller_t3_003,True,90.0,accepted,5,96.99,67.54,6.989999999999995,22.459999999999994
3,item_001,Gadget B,buyer_t3_004,seller_t3_004,True,97.0,accepted,6,98.17,85.14,1.1700000000000017,11.86
3,item_000,Widget A,buyer_t3_001,seller_t3_000,True,138.0,accepted,6,150.98,68.9,12.97999999999999,69.1
3,item_004,Gizmo E,buyer_t3_006,seller_t3_007,True,122.35,accepted,6,122.35,67.95,0.0,54.39999999999999
3,item_002,Doohickey C,buyer_t3_002,seller_t3_001,True,121.0,accepted,6,121.33,101.73,0.3299999999999983,19.269999999999996
3,item_000,Widget A,buyer_t3_007,seller_t3_006,False,,timeout,10,158.93,73.66,0.0,0.0
3,item_000,Widget A,buyer_t3_000,seller_t3_002,False,,rejected,3,97.19,109.5,0.0,0.0
3,item_003,Thingamajig D,buyer_t3_005,seller_t3_005,True,96.0,accepted,6,96.45,84.45,0.45000000000000284,11.549999999999997
4,item_000,Widget A,buyer_t4_001,seller_t4_007,True,128.0,accepted,5,150.14,85.92,22.139999999999986,42.08
4,item_000,Widget A,buyer_t4_007,seller_t4_006,False,,rejected,5,137.67,63.46,0.0,0.0
4,item_000,Widget A,buyer_t4_002,seller_t4_000,True,137.0,accepted,10,154.94,100.78,17.939999999999998,36.22
4,item_000,Widget A,buyer_t4_004,seller_t4_003,False,,timeout,10,95.72,74.84,0.0,0.0
4,item_000,Widget A,buyer_t4_000,seller_t4_002,False,,rejected,7,150.13,102.04,0.0,0.0
4,item_001,Gadget B,buyer_t4_003,seller_t4_005,True,91.3,accepted,10,132.37,69.5,41.07000000000001,21.799999999999997
4,item_000,Widget A,buyer_t4_005,seller_t4_004,True,138.0,accepted,10,138.04,68.05,0.03999999999999204,69.95
4,item_002,Doohickey C,buyer_t4_006,seller_t4_001,True,99.0,accepted,6,154.87,66.66,55.870000000000005,32.34
5,item_002,Doohickey C,buyer_t5_007,seller_t5_006,False,,rejected,4,91.48,97.42,0.0,0.0
5,item_002,Doohickey C,buyer_t5_006,seller_t5_000,True,102.0,accepted,6,102.36,81.72,0.35999999999999943,20.28
5,item_002,Doohickey C,buyer_t5_000,seller_t5_002,True,113.75,accepted,10,142.43,70.29,28.680000000000007,43.459999999999994
5,item_002,Doohickey C,buyer_t5_004,seller_t5_007,False,,rejected,7,93.4,80.34,0.0,0.0
5,item_000,Widget A,buyer_t5_002,seller_t5_005,True,147.86,accepted,6,147.86,87.78,0.0,60.08000000000001
5,item_003,Thingamajig D,buyer_t5_001,seller_t5_003,True,114.0,accepted,5,118.41,108.74,4.409999999999997,5.260000000000005
5,item_002,Doohickey C,buyer_t5_005,seller_t5_004,True,118.0,accepted,4,164.63,69.64,46.629999999999995,48.36
5,item_000,Widget A,buyer_t5_003,seller_t5_001,False,,rejected,7,110.37,60.31,0.0,0.0
6,item_003,Thingamajig D,buyer_t6_002,seller_t6_003,True,100.0,accepted,6,104.25,73.67,4.25,26.33
6,item_004,Gizmo E,buyer_t6_005,seller_t6_007,True,121.0,accepted,5,127.69,85.37,6.689999999999998,35.629999999999995
6,item_003,Thingamajig D,buyer_t6_007,seller_t6_001,True,101.5,accepted,6,145.85,68.68,44.349999999999994,32.81999999999999
6,item_002,Doohickey C,buyer_t6_006,seller_t6_006,False,,rejected,4,91.58,98.5,0.0,0.0
6,item_002,Doohickey C,buyer_t6_001,seller_t6_000,False,,timeout,10,128.06,81.53,0.0,0.0
6,item_003,Thingamajig D,buyer_t6_000,seller_t6_002,False,,rejected,4,161.63,105.35,0.0,0.0
6,item_001,Gadget B,buyer_t6_004,seller_t6_005,True,91.95,accepted,9,91.95,69.82,0.0,22.13000000000001
6,item_001,Gadget B,buyer_t6_003,seller_t6_004,True,86.5,accepted,6,108.62,62.57,22.120000000000005,23.93
7,item_001,Gadget B,buyer_t7_007,seller_t7_002,True,87.0,accepted,9,142.36,65.4,55.360000000000014,21.599999999999994
7,item_003,Thingamajig D,buyer_t7_002,seller_t7_003,True,91.0,accepted,6,91.1,71.8,0.09999999999999432,19.200000000000003
7,item_001,Gadget B,buyer_t7_006,seller_t7_005,True,91.9,accepted,8,112.77,90.71,20.86999999999999,1.190000000000012
7,item_003,Thingamajig D,buyer_t7_001,seller_t7_000,True,92.0,accepted,5,152.2,84.48,60.19999999999999,7.519999999999996
7,item_002,Doohickey C,buyer_t7_004,seller_t7_006,True,93.0,accepted,5,100.7,82.73,7.700000000000003,10.269999999999996
7,item_002,Doohickey C,buyer_t7_003,seller_t7_004,True,111.0,accepted,10,144.71,79.58,33.71000000000001,31.42
7,item_003,Thingamajig D,buyer_t7_000,seller_t7_001,True,99.0,accepted,10,105.09,81.21,6.090000000000003,17.790000000000006
